Angle [deg],Speed [m/s],Distance [m],Fx [N],Fy [N],Fz [N],Mx [N*m],My [N*m],Mz [N*m],Ft [N],Ftot [N]
284.24,0.00,0.00,2.46,5.09,-1.20,-0.18,0.29,-0.04,-0.17,5.78
284.24,0.00,0.00,2.20,5.48,-1.29,-0.18,0.24,0.02,0.08,6.04
284.24,0.00,0.00,2.06,5.62,-1.29,-0.17,0.20,0.11,0.42,6.13
284.24,0.00,0.00,2.06,5.62,-1.20,-0.15,0.15,0.11,0.42,6.11
284.24,0.00,0.00,2.18,5.38,-1.20,-0.14,0.12,0.13,0.50,5.93
284.24,0.00,0.00,2.43,4.99,-1.10,-0.12,0.10,0.13,0.50,5.66
284.24,0.00,0.00,2.49,4.55,-1.01,-0.08,0.11,0.04,0.17,5.29
284.24,0.00,0.00,2.41,4.26,-0.83,-0.07,0.15,-0.02,-0.08,4.96
284.24,0.00,0.00,2.18,4.11,-0.74,-0.04,0.20,-0.06,-0.25,4.71
284.24,0.00,0.00,1.96,3.96,-0.74,-0.05,0.23,-0.11,-0.42,4.48
284.24,0.00,0.00,1.75,4.18,-0.64,-0.03,0.22,-0.11,-0.42,4.58
284.24,0.00,0.00,1.68,4.26,-0.55,-0.04,0.18,-0.06,-0.25,4.61
284.24,0.00,0.00,1.84,4.21,-0.64,-0.04,0.12,0.00,0.00,4.64
284.24,0.00,0.00,2.14,4.28,-0.64,-0.06,0.06,0.06,0.25,4.83
284.24,0.00,0.00,2.34,4.33,-0.64,-0.06,0.06,0.09,0.33,4.96
284.24,0.00,0.00,2.63,4.41,-0.64,-0.06,0.06,0.09,0.33,5.17
284.24,0.00,0.00,2.62,4.68,-0.74,-0.08,0.11,0.04,0.17,5.41
284.24,0.00,0.00,2.47,4.82,-0.83,-0.11,0.16,0.00,0.00,5.48
284.24,0.00,0.00,2.29,5.14,-0.92,-0.12,0.18,-0.04,-0.17,5.70
284.24,0.00,0.00,2.15,5.28,-0.92,-0.12,0.18,-0.09,-0.33,5.78
284.24,0.00,0.00,2.15,5.28,-1.01,-0.13,0.16,-0.09,-0.33,5.79
284.24,0.00,0.00,2.26,5.04,-0.83,-0.11,0.16,-0.06,-0.25,5.59
284.24,0.00,0.00,2.59,4.58,-0.64,-0.09,0.17,-0.04,-0.17,5.30
284.24,0.00,0.00,2.79,3.99,-0.37,-0.07,0.23,-0.02,-0.08,4.89
284.24,0.00,0.00,2.92,3.48,-0.28,-0.07,0.28,-0.09,-0.33,4.55
284.15,0.00,0.00,2.84,3.19,-0.46,-0.10,0.31,-0.09,-0.33,4.29
284.15,0.00,0.00,2.70,3.06,-0.64,-0.13,0.34,-0.09,-0.33,4.13
284.15,0.00,0.00,2.49,3.28,-1.10,-0.18,0.31,-0.09,-0.33,4.26
284.15,0.00,0.00,2.30,3.60,-1.47,-0.21,0.27,-0.06,-0.25,4.52
284.15,0.00,0.00,2.39,3.89,-1.75,-0.23,0.21,0.00,0.00,4.89
284.15,0.00,0.00,2.37,4.16,-1.75,-0.22,0.17,0.02,0.08,5.10
284.15,0.00,0.00,2.34,4.06,-1.56,-0.19,0.14,0.06,0.25,4.94
284.15,0.00,0.00,2.32,3.96,-1.29,-0.16,0.17,0.11,0.42,4.77
284.15,0.00,0.00,2.26,3.77,-1.10,-0.15,0.21,0.13,0.50,4.53
284.15,0.00,0.00,2.29,3.87,-1.10,-0.15,0.21,0.15,0.59,4.63
284.15,0.00,0.00,2.34,4.06,-1.29,-0.17,0.20,0.13,0.50,4.86
284.15,0.00,0.00,2.50,4.28,-1.66,-0.20,0.16,0.09,0.33,5.23
284.15,0.00,0.00,2.72,4.43,-1.75,-0.20,0.10,0.00,0.00,5.48
284.15,0.00,0.00,2.58,4.57,-1.75,-0.19,0.06,-0.04,-0.17,5.54
284.15,0.00,0.00,2.29,4.50,-1.47,-0.15,0.05,-0.04,-0.17,5.26
284.15,0.00,0.00,1.72,4.45,-1.20,-0.14,0.12,-0.02,-0.08,4.92
284.15,0.00,0.00,1.16,4.40,-0.83,-0.12,0.23,0.06,0.25,4.62
284.15,0.00,0.00,0.92,4.52,-0.74,-0.14,0.32,0.11,0.42,4.67
284.15,0.00,0.00,0.95,4.62,-0.83,-0.16,0.37,0.13,0.50,4.78
284.15,0.00,0.00,1.27,4.79,-1.10,-0.18,0.35,0.15,0.59,5.08
284.15,0.00,0.00,1.74,4.81,-1.29,-0.19,0.27,0.09,0.33,5.28
284.15,0.00,0.00,1.98,4.69,-1.47,-0.19,0.20,0.04,0.17,5.30
284.15,0.00,0.00,2.12,4.55,-1.47,-0.17,0.13,0.02,0.08,5.23
284.15,0.00,0.00,2.02,4.52,-1.38,-0.16,0.11,0.04,0.17,5.14
284.15,0.00,0.00,1.81,4.74,-1.29,-0.15,0.13,0.11,0.42,5.23
284.15,0.00,0.00,1.72,5.08,-1.10,-0.14,0.17,0.17,0.67,5.48
284.15,0.00,0.00,1.83,5.47,-0.83,-0.12,0.23,0.26,1.00,5.83
284.15,0.00,0.00,2.06,5.62,-0.74,-0.12,0.25,0.30,1.17,6.03
284.15,0.00,0.00,2.32,5.60,-0.64,-0.10,0.24,0.34,1.34,6.09
284.15,0.00,0.00,2.51,5.28,-0.83,-0.11,0.20,0.32,1.25,5.90
284.15,0.00,0.00,2.76,4.89,-1.10,-0.14,0.17,0.32,1.25,5.73
284.15,0.00,0.00,2.82,4.45,-1.47,-0.17,0.13,0.30,1.17,5.47
284.15,0.00,0.00,2.67,4.23,-1.75,-0.20,0.10,0.28,1.09,5.30
284.15,0.00,0.00,2.69,4.33,-1.93,-0.22,0.09,0.24,0.92,5.45
284.15,0.00,0.00,2.55,4.48,-1.93,-0.23,0.13,0.19,0.75,5.50
284.15,0.00,0.00,2.74,4.79,-1.75,-0.22,0.17,0.17,0.67,5.79
284.15,0.00,0.00,2.76,4.89,-1.56,-0.20,0.21,0.13,0.50,5.83
284.15,0.00,0.00,2.69,4.96,-1.29,-0.18,0.24,0.11,0.42,5.79
284.15,0.00,0.00,2.54,4.74,-1.10,-0.16,0.24,0.09,0.33,5.49
284.15,0.00,0.00,2.38,4.52,-1.01,-0.15,0.26,0.06,0.25,5.21
284.15,0.00,0.00,2.33,4.33,-0.83,-0.13,0.27,0.02,0.08,4.99
284.15,0.00,0.00,2.30,4.23,-0.92,-0.14,0.25,0.00,0.00,4.90
284.15,0.00,0.00,2.34,4.06,-0.83,-0.12,0.23,0.00,0.00,4.76
284.15,0.00,0.00,2.54,4.11,-0.74,-0.11,0.22,0.02,0.08,4.89
284.15,0.00,0.00,2.61,4.04,-0.64,-0.09,0.17,0.04,0.17,4.85
284.15,0.00,0.00,2.61,4.04,-0.55,-0.06,0.12,0.04,0.17,4.84
284.15,0.00,0.00,2.32,3.96,-0.46,-0.04,0.07,0.04,0.17,4.61
284.15,0.00,0.00,2.05,3.99,-0.46,-0.04,0.07,0.00,0.00,4.51
284.15,0.00,0.00,1.78,4.01,-0.74,-0.07,0.08,-0.04,-0.17,4.45
284.15,0.00,0.00,1.60,4.33,-1.01,-0.12,0.12,-0.09,-0.33,4.72
284.15,0.00,0.00,1.65,4.52,-1.29,-0.15,0.13,-0.11,-0.42,4.98
284.15,0.00,0.00,1.83,4.84,-1.66,-0.19,0.12,-0.06,-0.25,5.43
284.15,0.00,0.00,1.96,4.96,-1.84,-0.20,0.08,0.00,0.00,5.64
284.15,0.00,0.00,2.23,4.94,-1.93,-0.21,0.06,0.04,0.17,5.75
284.15,0.00,0.00,2.30,4.87,-2.02,-0.22,0.07,0.06,0.25,5.75
284.15,0.00,0.00,2.37,4.79,-1.84,-0.22,0.15,0.09,0.33,5.65
284.15,0.00,0.00,2.44,4.72,-1.75,-0.23,0.24,0.04,0.17,5.59
284.15,0.00,0.00,2.44,4.72,-1.75,-0.25,0.31,-0.02,-0.08,5.59
284.15,0.00,0.00,2.50,4.92,-1.56,-0.23,0.32,-0.04,-0.17,5.73
284.15,0.00,0.00,2.45,5.09,-1.47,-0.21,0.27,-0.04,-0.17,5.83
284.15,0.00,0.00,2.31,5.23,-1.38,-0.17,0.15,-0.02,-0.08,5.88
284.15,0.00,0.00,2.14,5.28,-1.20,-0.12,0.04,0.04,0.17,5.82
284.15,0.00,0.00,1.97,5.33,-1.20,-0.10,-0.03,0.04,0.17,5.81
284.15,0.00,0.00,1.94,5.23,-1.29,-0.12,-0.01,0.09,0.33,5.73
284.15,0.00,0.00,1.89,5.03,-1.38,-0.15,0.08,0.11,0.42,5.55
284.15,0.00,0.00,1.98,4.69,-1.66,-0.17,0.15,0.11,0.42,5.35
284.15,0.00,0.00,2.06,4.35,-1.75,-0.19,0.20,0.11,0.42,5.12
284.15,-0.00,0.00,2.18,4.11,-1.66,-0.18,0.22,0.13,0.50,4.94
284.15,-0.00,0.00,2.15,4.01,-1.47,-0.16,0.19,0.11,0.42,4.78
284.15,-0.00,0.00,2.25,4.04,-1.20,-0.11,0.14,0.09,0.33,4.77
284.15,-0.00,0.00,2.25,4.04,-0.83,-0.10,0.13,0.09,0.33,4.69
284.15,-0.00,0.00,2.18,4.11,-0.64,-0.09,0.17,0.00,0.00,4.69
284.15,-0.00,0.00,2.20,4.21,-0.64,-0.10,0.24,-0.04,-0.17,4.79
284.15,-0.00,0.00,2.20,4.21,-0.74,-0.13,0.29,-0.11,-0.42,4.81
284.15,-0.00,0.00,2.30,4.23,-0.92,-0.16,0.32,-0.13,-0.50,4.90
284.15,-0.00,0.00,2.43,4.35,-0.92,-0.16,0.32,-0.19,-0.75,5.07
284.15,-0.00,0.00,2.41,4.62,-1.01,-0.15,0.26,-0.24,-0.92,5.31
284.15,-0.00,0.00,2.30,4.87,-0.92,-0.13,0.21,-0.19,-0.75,5.46
284.15,-0.00,0.00,2.09,5.08,-0.83,-0.11,0.20,-0.13,-0.50,5.56
284.15,-0.00,0.00,1.94,5.23,-0.83,-0.11,0.20,-0.04,-0.17,5.64
284.15,-0.00,0.00,1.85,5.20,-0.92,-0.10,0.24,0.04,0.17,5.60
284.15,-0.00,0.00,1.92,5.13,-0.92,-0.11,0.27,0.13,0.50,5.56
284.15,-0.00,0.00,2.03,4.89,-1.10,-0.11,0.29,0.15,0.59,5.41
284.15,-0.00,0.00,2.07,4.72,-1.20,-0.11,0.27,0.15,0.59,5.29
284.15,-0.00,0.00,2.14,4.65,-1.29,-0.11,0.22,0.11,0.42,5.28
284.15,-0.00,0.00,2.13,4.91,-1.29,-0.13,0.16,0.06,0.25,5.51
284.15,-0.00,0.00,1.99,5.06,-1.47,-0.13,0.08,0.02,0.08,5.63
284.15,-0.00,0.00,1.97,5.33,-1.56,-0.16,0.03,0.04,0.17,5.89
284.15,-0.00,0.00,1.97,5.33,-1.66,-0.17,0.01,0.04,0.17,5.92
284.15,-0.00,0.00,2.02,5.16,-1.75,-0.18,0.03,0.04,0.17,5.81
284.15,-0.00,0.00,2.17,4.74,-1.75,-0.20,0.10,0.00,0.00,5.50
284.24,-0.00,0.00,2.09,4.45,-1.66,-0.20,0.16,-0.06,-0.25,5.19
284.24,-0.00,0.00,2.11,4.19,-1.29,-0.17,0.20,-0.15,-0.59,4.86
284.24,-0.00,0.00,2.06,3.99,-1.01,-0.14,0.23,-0.19,-0.75,4.60
284.24,-0.00,0.00,1.96,3.96,-0.74,-0.11,0.22,-0.24,-0.92,4.48
284.24,-0.00,0.00,1.92,4.14,-0.46,-0.07,0.21,-0.17,-0.67,4.58
284.24,-0.00,0.00,1.94,4.23,-0.37,-0.05,0.16,-0.09,-0.33,4.67
284.24,-0.00,0.00,1.97,4.33,-0.46,-0.06,0.14,0.00,0.00,4.78
284.24,-0.00,0.00,2.07,4.36,-0.55,-0.06,0.12,0.04,0.17,4.85
284.24,-0.00,0.00,2.11,4.19,-0.92,-0.10,0.11,0.04,0.17,4.78
