Timestamp,A_x,A_y,A_z,B_x,B_y,B_z,Altitude,,,,,,,,,,,,,,,,,,,,,,
0,4.1372,-8.9352,1.0918,3.8738,-8.4946,0.5746,618.53,,,,,,,,,,,,,,,,,Alpha,Alpha-smoothed,Omega,AlphaFromOmega,Omega-smoothed,AlphaFromOmegaSmooth
0.069773,3.8211,-8.6862,0.8188,3.7828,-8.6574,1.0391,618.53,,,,,,,,,,,,,,,,,2.17044335,0.968542148,0,0,0.512278829,0.000690794
0.089776,4.1611,-8.7293,0.8667,4.1659,-8.4467,0.929,618.53,,,,,,,,,,,,,,,,,0.141871921,0.923825489,0,7.68736434,0.512278829,3.431929494
0.109778,4.1563,-8.9304,0.589,4.2138,-8.6239,0.8906,618.53,,,,,,,,,,,,,,,,,1.392118227,0.876311948,0.153770349,18.92026656,0.580903603,5.830708277
0.12978,3.9983,-8.7771,0.2873,4.2473,-8.6048,0.4645,618.53,,,,,,,,,,,,,,,,,1.509852217,0.794643844,0.532213521,28.76245754,0.697507213,-5.320123994
0.149782,4.4293,-8.5808,0.6512,4.549,-8.5665,1.0582,618.53,,,,,,,,,,,,,,,,,0.848768473,0.705444095,1.107520196,-16.97980792,0.591064508,-7.635065359
0.169786,4.4484,-8.8155,0.68,4.3958,-9.0166,0.8045,618.53,,,,,,,,,,,,,,,,,0.07044335,0.636862196,0.767890078,-38.38682655,0.43832866,-0.313365623
0.189786,4.4245,-8.3845,0.7183,4.4484,-8.5329,0.6847,618.53,,,,,,,,,,,,,,,,,-0.990640394,0.603284968,0,17.1561935,0.432041449,5.321900951
0.209788,4.7357,-8.6335,0.8571,4.8459,-8.7819,0.9577,618.53,,,,,,,,,,,,,,,,,-0.731034483,0.603366179,0.34312387,19.68125826,0.538484153,-3.431206861
0.229791,4.391,-8.5665,0.7422,4.3383,-8.5138,0.6943,618.53,,,,,,,,,,,,,,,,,-0.731034483,0.62016767,0.736788398,-36.8338948,0.469859379,7.756239261
0.249796,4.118,-8.8059,1.0487,4.142,-8.6574,0.7661,618.53,,,,,,,,,,,,,,,,,0.259605911,0.647324771,0,17.18775071,0.62503615,7.675196491
0.269798,4.3718,-8.5042,1.0774,4.4819,-8.5473,1.6328,618.53,,,,,,,,,,,,,,,,,0.731527094,0.68627604,0.343840953,19.62869077,0.778614166,5.771608707
