Timestamp,A_x,A_y,A_z,B_x,B_y,B_z,Altitude
0.000000,8.5377,-6.3015,2.0638,5.6982,-5.7557,0.7135,617.91
0.069769,6.7229,-6.3255,0.8619,7.1682,-6.4835,0.7709,617.91
0.089771,7.4268,-6.5984,0.2203,7.1251,-6.4165,0.6800,617.91
0.109775,7.2209,-6.5314,0.3112,7.0150,-6.0956,0.5698,617.91
0.129776,7.2257,-6.3686,0.5507,7.1922,-6.1292,1.2067,617.91
0.149781,7.1874,-6.4691,0.7039,7.2018,-6.3590,0.7901,617.91
0.169784,7.3502,-6.2680,0.6943,7.3502,-6.0573,1.1732,617.91
0.189786,7.2401,-6.2153,0.5650,7.2496,-6.1962,0.6273,617.91
0.209789,7.3119,-6.2345,0.6321,7.2784,-6.1435,0.9194,617.91
0.229792,7.2065,-6.3446,0.4932,7.1778,-6.2106,0.5363,617.91
0.249793,7.2401,-6.3542,0.4645,7.2257,-6.2728,0.7326,617.91
0.269796,7.2305,-6.2441,0.5555,7.2449,-6.2058,0.7374,617.91
0.289799,7.2305,-6.3015,0.5746,7.2592,-6.2345,0.6464,617.91
0.309802,7.3023,-6.2680,0.5028,7.3071,-6.1627,0.9433,617.91
0.329802,7.1874,-6.5170,0.4310,7.1682,-6.3877,0.4310,617.91
0.349802,7.2401,-6.4356,0.5794,7.1730,-6.2249,0.7278,617.91
0.369802,7.1922,-6.3303,0.5890,7.1778,-6.2106,0.6225,617.91
0.389802,7.2161,-6.3446,0.5938,7.1874,-6.2345,0.6800,617.91
0.409802,7.1587,-6.3351,0.5746,7.1922,-6.2824,0.8667,617.91
0.429802,7.2784,-6.3015,0.5267,7.3263,-6.2968,0.6752,617.91
0.449802,7.2257,-6.2728,0.5602,7.3023,-6.2393,0.6416,617.91
0.469805,7.1060,-6.4452,0.4501,7.3071,-6.3734,0.7853,617.91
0.489805,7.2305,-6.3351,0.5794,7.2065,-6.2776,0.7326,617.91
0.509807,7.1204,-6.5074,0.5890,7.1156,-6.2968,0.6033,617.91
0.529807,7.2496,-6.3015,0.5890,7.2449,-6.2345,0.8906,617.91
0.549807,7.4124,-6.0621,0.5890,7.4268,-6.0573,0.8954,617.91
0.569807,7.6327,-5.9472,0.6464,7.5130,-6.9240,1.1349,617.91
0.589807,7.7428,-6.3159,0.4836,7.1826,-5.9616,1.1875,617.91
0.609808,7.2257,-6.1723,0.3591,7.2592,-6.2824,0.5219,617.91
0.629808,7.0150,-6.4787,0.5698,7.0868,-6.2872,0.5124,617.91
0.649809,6.9192,-6.7373,0.5746,6.9863,-6.3446,0.7997,617.91
0.669813,6.7229,-6.9959,0.4884,6.6894,-6.3638,0.5459,617.91
0.689817,6.6750,-7.0294,0.5028,6.6224,-6.4165,0.4693,617.91
0.709818,7.2353,-6.3446,0.8428,7.2832,-6.1866,1.0678,617.91
