Timestamp,A_x,A_y,A_z,B_x,B_y,B_z,Altitude
0.000000,2.1165,-9.6055,0.5363,2.0303,-9.2464,0.9816,618.62
0.069774,1.7813,-9.5098,0.5507,1.8962,-9.3278,0.3208,618.62
0.089778,1.8962,-9.4571,0.7230,1.9872,-9.3901,0.8906,618.62
0.109779,1.9154,-9.5002,0.5938,1.9585,-9.4475,0.4405,618.62
0.129781,2.0542,-9.5768,0.5602,2.0303,-9.5481,0.9146,618.62
0.149786,1.8771,-9.6486,0.5267,1.9824,-9.5193,0.3591,618.62
0.169786,2.1165,-9.5768,0.4645,2.1165,-9.5241,0.9098,618.62
0.189790,1.9776,-9.5720,0.3926,1.9632,-9.4619,0.3496,618.62
0.209791,2.0638,-9.4523,0.5076,2.0303,-9.3757,0.6943,618.62
0.229793,1.9297,-9.5289,0.6225,1.8771,-9.3805,0.6416,618.62
0.249796,1.8771,-9.5433,0.7470,1.9154,-9.3996,0.8571,618.62
0.269796,1.8052,-9.4332,0.7518,1.8627,-9.3278,0.6943,618.62
0.289796,2.0542,-9.4715,0.7135,2.1308,-9.5433,0.7757,618.62
0.309796,2.1644,-9.5098,0.5219,2.0925,-9.5337,0.6943,618.62
0.329801,2.1165,-9.5864,0.5650,2.1356,-9.6726,0.7422,618.62
0.349803,2.0494,-9.5529,0.5507,2.1404,-9.5816,0.7853,618.62
0.369807,1.8866,-9.5864,0.6273,1.8675,-9.3996,0.6560,618.62
0.389807,1.6616,-9.5816,0.7039,1.6472,-9.4092,0.7135,618.62
0.409808,1.6999,-9.5241,0.7470,1.6903,-9.3613,0.7422,618.62
0.429813,1.8771,-9.5098,0.7135,1.8579,-9.4092,0.8236,618.62
0.449818,1.9201,-9.6822,0.6991,1.9776,-9.5720,0.8667,618.62
0.469818,2.0351,-9.6247,0.5602,2.0734,-9.5816,0.8619,618.62
0.489823,2.0016,-9.5577,0.4884,2.0255,-9.5577,0.7422,618.62
0.509823,2.0494,-9.4810,0.6081,2.1404,-9.5960,0.7853,618.62
0.529823,1.9106,-9.3613,0.3352,1.9968,-9.3422,0.8284,618.62
0.549823,1.9537,-9.3230,0.6177,1.8244,-9.1028,0.6225,618.62
0.569827,1.6616,-9.4044,0.5411,1.6568,-9.1315,0.3448,618.62
0.589828,1.6951,-9.5337,0.6129,1.7621,-9.3326,0.5267,618.62
0.609828,1.7861,-9.5816,0.5842,1.7573,-9.5385,0.8092,618.62
