Angle [deg],Speed [m/s],Distance [m],Fx [N],Fy [N],Fz [N],Mx [N*m],My [N*m],Mz [N*m],Ft [N],Ftot [N]
148.54,0.00,0.00,9.42,-3.90,0.83,-0.19,-0.03,-0.19,-0.75,10.23
148.54,0.00,0.00,9.27,-3.81,0.83,-0.25,0.01,-0.13,-0.50,10.05
148.54,0.00,0.00,9.32,-3.72,0.74,-0.26,0.02,-0.11,-0.42,10.06
148.54,0.00,0.00,9.32,-3.55,0.46,-0.26,0.06,-0.11,-0.42,9.99
148.54,0.00,0.00,9.53,-3.38,0.00,-0.22,0.10,-0.15,-0.59,10.11
148.54,0.00,0.00,9.63,-3.38,-0.46,-0.18,0.13,-0.17,-0.67,10.22
148.54,0.00,0.00,9.59,-3.29,-0.83,-0.12,0.15,-0.19,-0.75,10.17
148.54,0.00,0.00,9.38,-3.29,-1.20,-0.07,0.17,-0.15,-0.59,10.01
148.54,0.00,0.00,9.08,-3.28,-1.38,-0.03,0.16,-0.15,-0.59,9.75
148.54,0.00,0.00,8.98,-3.28,-1.56,0.01,0.16,-0.13,-0.50,9.68
148.54,0.00,0.00,8.98,-3.10,-1.47,0.02,0.14,-0.13,-0.50,9.61
148.54,0.00,0.00,9.03,-3.01,-1.47,0.02,0.14,-0.17,-0.67,9.64
148.54,0.00,0.00,9.34,-2.85,-1.20,-0.01,0.13,-0.24,-0.92,9.84
148.54,0.00,0.00,9.70,-2.77,-0.83,-0.06,0.11,-0.28,-1.09,10.12
148.54,0.00,0.00,9.96,-2.69,-0.37,-0.13,0.09,-0.30,-1.17,10.32
148.54,0.00,0.00,10.16,-2.69,0.18,-0.20,0.06,-0.28,-1.09,10.51
148.54,0.00,0.00,10.26,-2.87,0.55,-0.22,0.02,-0.17,-0.67,10.66
148.54,0.00,0.00,10.10,-2.95,0.83,-0.25,0.01,-0.04,-0.17,10.56
148.54,0.00,0.00,10.10,-3.13,0.83,-0.22,-0.01,0.09,0.33,10.60
148.54,0.00,0.00,10.00,-3.13,0.64,-0.21,0.01,0.17,0.67,10.49
148.54,0.00,0.00,10.04,-3.22,0.46,-0.20,0.02,0.19,0.75,10.56
148.54,0.00,0.00,9.94,-3.21,0.28,-0.22,0.06,0.15,0.59,10.45
148.54,0.00,0.00,10.00,-3.13,0.09,-0.24,0.10,0.11,0.42,10.47
148.54,0.00,0.00,10.15,-3.04,-0.09,-0.26,0.13,0.04,0.17,10.60
148.54,0.00,0.00,10.30,-2.96,-0.18,-0.27,0.15,-0.02,-0.08,10.72
148.54,0.00,0.00,10.61,-2.97,-0.18,-0.30,0.17,-0.02,-0.08,11.02
148.54,0.00,0.00,10.66,-3.06,-0.28,-0.31,0.19,0.00,0.00,11.09
148.54,0.00,0.00,10.81,-3.15,-0.28,-0.31,0.19,0.06,0.25,11.26
148.54,0.00,0.00,10.75,-3.23,-0.28,-0.28,0.17,0.17,0.67,11.23
148.54,0.00,0.00,10.65,-3.23,-0.09,-0.26,0.13,0.26,1.00,11.13
148.54,0.00,0.00,10.55,-3.23,0.09,-0.21,0.08,0.34,1.34,11.03
148.54,0.00,0.00,10.60,-3.14,0.09,-0.15,0.04,0.43,1.67,11.06
148.54,0.00,0.00,10.86,-3.06,-0.09,-0.07,0.02,0.47,1.84,11.28
148.54,0.00,0.00,11.12,-2.98,-0.37,-0.04,0.04,0.45,1.76,11.51
148.54,0.00,0.00,11.52,-2.99,-0.64,-0.01,0.05,0.43,1.67,11.92
148.54,0.00,0.00,11.77,-3.08,-0.92,0.02,0.07,0.41,1.59,12.21
148.54,0.00,0.00,12.02,-3.18,-1.20,0.02,0.11,0.39,1.50,12.50
148.54,0.00,0.00,12.12,-3.36,-1.38,0.07,0.11,0.43,1.67,12.65
148.54,0.00,0.00,12.07,-3.27,-1.47,0.12,0.09,0.47,1.84,12.59
148.54,0.00,0.00,12.18,-3.09,-1.38,0.16,0.05,0.45,1.76,12.64
148.54,0.00,0.00,12.33,-3.01,-1.29,0.20,0.01,0.39,1.50,12.76
148.54,0.00,0.00,12.49,-2.75,-0.92,0.18,-0.02,0.32,1.25,12.82
148.54,0.00,0.00,12.70,-2.58,-0.64,0.11,-0.02,0.22,0.84,12.98
148.54,0.00,0.00,12.75,-2.49,-0.37,-0.01,0.02,0.11,0.42,13.00
148.54,0.00,0.00,12.80,-2.58,-0.18,-0.15,0.08,0.06,0.25,13.06
148.54,0.00,0.00,12.80,-2.76,0.09,-0.30,0.14,0.06,0.25,13.09
148.54,0.00,0.00,12.74,-2.84,0.28,-0.41,0.17,0.11,0.42,13.06
148.54,0.00,0.00,12.85,-2.85,0.37,-0.46,0.19,0.15,0.59,13.16
148.54,0.00,0.00,13.05,-2.85,0.46,-0.45,0.18,0.17,0.67,13.36
148.54,0.00,0.00,13.20,-2.94,0.46,-0.39,0.14,0.17,0.67,13.53
148.54,0.00,0.00,13.40,-2.95,0.28,-0.31,0.12,0.13,0.50,13.72
148.54,0.00,0.00,13.30,-2.95,-0.09,-0.26,0.13,0.09,0.33,13.62
148.54,0.00,0.00,13.04,-3.03,-0.28,-0.25,0.15,0.11,0.42,13.39
148.54,0.00,0.00,12.74,-3.02,-0.28,-0.28,0.17,0.11,0.42,13.10
148.54,0.00,0.00,12.54,-2.84,0.09,-0.33,0.15,0.15,0.59,12.86
148.54,0.00,0.00,12.34,-2.66,0.37,-0.36,0.14,0.19,0.75,12.63
148.54,0.00,0.00,12.35,-2.48,0.64,-0.40,0.12,0.26,1.00,12.61
148.54,0.00,0.00,12.45,-2.49,0.55,-0.38,0.12,0.30,1.17,12.71
148.54,0.00,0.00,12.55,-2.31,0.37,-0.33,0.12,0.34,1.34,12.77
148.54,0.00,0.00,12.45,-2.31,0.09,-0.30,0.14,0.37,1.42,12.67
148.54,0.00,0.00,12.35,-2.31,-0.18,-0.27,0.15,0.39,1.50,12.57
148.54,0.00,0.00,12.05,-2.30,-0.37,-0.29,0.19,0.39,1.50,12.27
148.54,0.00,0.00,11.84,-2.29,-0.18,-0.33,0.19,0.37,1.42,12.07
148.54,0.00,0.00,11.80,-2.21,-0.09,-0.38,0.21,0.34,1.34,12.00
148.54,0.00,0.00,11.75,-2.12,0.00,-0.44,0.23,0.32,1.25,11.94
148.54,0.00,0.00,11.75,-1.94,0.18,-0.48,0.23,0.32,1.25,11.91
148.54,0.00,0.00,11.80,-1.85,0.28,-0.50,0.23,0.34,1.34,11.95
148.54,0.00,0.00,11.55,-1.76,0.28,-0.50,0.23,0.37,1.42,11.69
148.54,0.00,0.00,11.20,-1.66,0.46,-0.51,0.21,0.41,1.59,11.33
148.54,0.00,0.00,11.05,-1.75,0.55,-0.50,0.19,0.41,1.59,11.20
148.54,0.00,0.00,10.84,-1.74,0.64,-0.52,0.20,0.39,1.50,11.00
148.54,0.00,0.00,10.94,-1.74,0.64,-0.55,0.21,0.37,1.42,11.10
148.54,0.00,0.00,11.00,-1.66,0.46,-0.57,0.25,0.32,1.25,11.13
148.54,0.00,0.00,11.00,-1.66,0.28,-0.56,0.27,0.32,1.25,11.13
148.54,0.00,0.00,10.85,-1.57,0.00,-0.56,0.31,0.32,1.25,10.96
148.54,0.00,0.00,10.55,-1.38,-0.09,-0.54,0.30,0.39,1.50,10.64
148.54,0.00,0.00,10.19,-1.28,0.00,-0.53,0.29,0.43,1.67,10.28
148.54,0.00,0.00,9.90,-1.10,0.09,-0.52,0.27,0.49,1.92,9.96
148.54,0.00,0.00,9.85,-1.01,0.18,-0.51,0.25,0.54,2.09,9.90
148.54,0.00,0.00,10.01,-0.75,0.37,-0.52,0.23,0.60,2.34,10.04
148.54,0.00,0.00,10.22,-0.41,0.37,-0.52,0.23,0.62,2.42,10.23
148.54,0.00,0.00,10.38,-0.15,0.18,-0.51,0.25,0.62,2.42,10.38
148.54,0.00,0.00,10.23,-0.05,-0.09,-0.51,0.29,0.62,2.42,10.23
148.54,0.00,0.00,9.97,-0.14,-0.46,-0.49,0.32,0.58,2.26,9.98
148.54,0.00,0.00,9.61,-0.39,-0.74,-0.45,0.34,0.56,2.17,9.64
148.54,0.00,0.00,9.29,-0.91,-0.83,-0.40,0.32,0.49,1.92,9.37
148.54,0.00,0.00,9.18,-1.26,-0.92,-0.35,0.30,0.45,1.76,9.31
148.54,0.00,0.00,9.07,-1.43,-0.64,-0.32,0.24,0.41,1.59,9.21
148.54,0.00,0.00,9.07,-1.43,-0.28,-0.34,0.21,0.41,1.59,9.19
148.54,0.00,0.00,9.08,-1.26,0.00,-0.37,0.19,0.47,1.84,9.17
148.54,0.00,0.00,8.93,-0.99,0.28,-0.44,0.19,0.54,2.09,8.99
148.54,0.00,0.00,8.94,-0.81,0.37,-0.52,0.23,0.60,2.34,8.98
148.54,0.00,0.00,8.89,-0.72,0.37,-0.58,0.27,0.65,2.51,8.93
148.54,0.00,0.00,9.04,-0.82,0.37,-0.64,0.31,0.65,2.51,9.08
148.54,0.00,0.00,9.03,-0.99,0.18,-0.66,0.34,0.58,2.26,9.09
148.54,0.00,0.00,9.03,-1.17,0.09,-0.67,0.36,0.52,2.01,9.11
148.54,0.00,0.00,8.88,-1.25,0.09,-0.67,0.36,0.45,1.76,8.96
148.54,0.00,0.00,8.72,-1.34,0.00,-0.65,0.36,0.39,1.50,8.82
148.54,0.00,0.00,8.52,-1.33,-0.09,-0.60,0.34,0.37,1.42,8.62
148.54,0.00,0.00,8.47,-1.24,-0.18,-0.52,0.30,0.34,1.34,8.56
148.54,0.00,0.00,8.42,-1.15,-0.37,-0.44,0.28,0.32,1.25,8.51
148.54,0.00,0.00,8.58,-1.07,-0.55,-0.40,0.28,0.32,1.25,8.66
148.54,0.00,0.00,8.88,-1.08,-0.74,-0.39,0.30,0.32,1.25,8.98
148.54,0.00,0.00,8.93,-0.99,-0.92,-0.41,0.34,0.34,1.34,9.03
148.54,0.00,0.00,9.14,-0.99,-0.92,-0.47,0.38,0.37,1.42,9.24
148.54,0.00,0.00,9.08,-1.08,-0.92,-0.54,0.41,0.34,1.34,9.19
148.54,0.00,0.00,9.18,-1.26,-0.64,-0.57,0.40,0.32,1.25,9.29
148.54,0.00,0.00,9.22,-1.52,-0.37,-0.57,0.36,0.28,1.09,9.36
148.54,0.00,0.00,9.22,-1.70,0.00,-0.53,0.29,0.22,0.84,9.38
148.54,0.00,0.00,9.27,-1.79,0.18,-0.51,0.25,0.17,0.67,9.44
148.54,0.00,0.00,9.12,-1.70,0.28,-0.47,0.21,0.17,0.67,9.28
148.54,0.00,0.00,9.02,-1.69,0.18,-0.45,0.21,0.19,0.75,9.18
148.54,0.00,0.00,9.02,-1.69,0.09,-0.46,0.23,0.26,1.00,9.18
148.54,0.00,0.00,8.91,-1.87,-0.09,-0.48,0.27,0.34,1.34,9.10
148.54,0.00,0.00,9.01,-2.05,-0.28,-0.50,0.30,0.39,1.50,9.24
148.54,0.00,0.00,9.00,-2.22,-0.37,-0.51,0.32,0.39,1.50,9.28
148.45,0.00,0.00,9.21,-2.23,-0.55,-0.53,0.36,0.34,1.34,9.49
