Timestamp,A_x,A_y,A_z,B_x,B_y,B_z,Altitude
0.000000,-10.0126,-0.1532,0.1820,-10.1035,-0.2011,-0.0431,629.50
0.069766,-9.9886,-0.4214,0.4070,-10.0461,-0.7661,0.2251,629.50
0.089767,-9.9024,-0.7709,0.3160,-9.7636,-1.2641,-0.0048,629.50
0.109767,-9.6295,-0.6560,0.4932,-9.5624,-1.0678,0.5076,629.50
0.129770,-9.4140,-1.8483,0.7757,-9.8497,-2.9257,2.1835,629.50
0.149770,-9.3901,-0.6560,0.4118,-9.3709,-1.1109,1.6376,629.50
0.169773,-9.5624,-0.8571,0.8380,-9.6295,-1.4509,0.8619,629.50
0.189774,-9.8928,-0.7135,0.3496,-9.8067,-1.1732,0.4836,629.50
0.209778,-9.9599,-0.6081,0.2825,-10.0413,-0.9337,-0.0766,629.50
0.229780,-9.9072,-0.4980,0.3017,-9.8545,-0.7853,0.3304,629.50
0.249780,-9.8737,-0.5746,0.6416,-9.8497,-0.7518,0.7661,629.50
0.269783,-9.7827,-0.2634,0.8475,-9.7731,-0.5555,0.8523,629.50
0.289783,-9.9647,-0.2634,0.6800,-10.0078,-0.3304,0.4022,629.50
0.309784,-9.8402,0.0718,0.4788,-9.8833,0.1963,-0.0287,629.50
0.329784,-9.7588,0.1245,0.5602,-9.7444,0.0575,0.4884,629.50
0.349785,-9.6391,0.2251,0.4597,-9.7252,0.3112,0.6943,629.50
0.369788,-9.8833,0.1772,0.5315,-10.0509,0.1676,0.4214,629.50
0.389791,-9.8114,0.2298,0.2682,-9.8210,-0.0479,0.1724,629.50
0.409791,-10.0126,-0.1532,0.4453,-9.8210,-0.2394,0.7614,629.50
0.429794,-9.8881,-0.2059,0.5938,-9.8402,-0.5076,0.8763,629.50
0.449797,-9.9264,-0.3208,0.6129,-9.8689,-1.1588,0.7374,629.50
0.469797,-9.9503,0.0958,0.8188,-9.8545,0.2346,0.2059,629.50
0.489800,-9.8737,0.2538,0.6991,-9.8545,0.2251,0.6656,629.50
0.509804,-10.0030,0.2251,0.9768,-9.9982,0.4884,1.0056,629.50
0.529804,-9.7731,-0.0431,0.7805,-9.6438,0.2107,0.8906,629.50
0.549807,-9.8210,-0.0910,0.5411,-9.8019,-0.0766,0.5602,629.50
0.569809,-9.7971,-0.0910,0.5986,-9.7971,-0.2777,0.3543,629.50
0.589812,-9.8114,-0.6847,0.6704,-9.2656,-1.2881,1.1732,629.50
0.609813,-9.8019,-0.0048,0.7374,-9.7683,-0.0814,0.3831,629.50
0.629814,-9.7013,0.0622,0.7087,-9.6917,-0.2155,0.8619,629.50
0.649815,-9.7396,0.1437,0.6943,-9.7492,-0.0335,0.7470,629.50
0.669818,-9.8210,0.0239,0.6081,-9.8402,-0.1484,0.6033,629.50
0.689818,-9.8737,0.0670,0.4645,-9.8545,-0.0479,0.4022,629.50
0.709822,-9.9455,0.1006,0.3879,-9.9599,-0.0431,0.3448,629.50
0.729826,-9.8162,0.1245,0.5219,-9.8881,-0.0144,0.4597,629.50
0.749829,-9.9120,0.3160,0.4980,-9.9407,0.2538,0.5411,629.50
0.769829,-9.8067,0.3926,0.5219,-9.8306,0.3017,0.5411,629.50
0.789831,-9.8210,0.2969,0.5698,-9.7731,0.1867,0.5555,629.50
0.809835,-9.9503,0.3160,0.4597,-9.9407,0.2251,0.2873,629.50
0.829836,-9.9407,0.3639,0.3065,-9.9264,0.3065,0.2682,629.50
0.849841,-9.8737,0.2873,0.4118,-9.8306,0.1772,0.3926,629.50
0.869842,-9.9216,0.2729,0.5171,-9.8833,0.2394,0.6991,629.50
0.889842,-10.0078,0.1724,0.0622,-9.8689,0.1484,0.1437,629.50
0.909842,-10.0078,0.1484,0.2873,-9.9982,0.0718,0.2490,629.50
0.929847,-9.8785,0.2251,0.4310,-9.9120,0.1293,0.3974,629.50
0.949847,-10.0030,0.2107,0.1628,-9.8545,0.0862,0.1724,629.50
0.969847,-9.8258,0.3783,0.4836,-9.7636,0.3591,0.4357,629.50
0.989847,-9.9216,0.5602,0.5698,-9.9024,0.7949,0.2394,629.50
