Timestamp,A_x,A_y,A_z,B_x,B_y,B_z,Altitude
0.000000,9.4763,2.8443,0.1532,9.3996,3.4141,-0.0527,616.41
0.069783,9.3374,2.8012,-0.1772,9.2081,3.1316,0.0575,616.41
0.089785,9.2656,3.0311,-0.2011,9.3230,3.4046,-0.0622,616.41
0.109789,9.4954,3.2370,-0.0958,9.2608,3.4524,0.0622,616.41
0.129794,9.2416,3.4333,-0.2634,9.1171,3.4141,0.2586,616.41
0.149796,9.2129,3.4572,-0.0814,9.1123,3.5195,0.0718,616.41
0.169800,9.1842,3.2465,-0.1867,9.1315,3.2944,0.3974,616.41
0.189800,9.2895,3.1125,-0.1101,9.1602,3.4285,0.0622,616.41
0.209800,9.3039,3.1651,-0.2729,9.1842,3.2705,0.0622,616.41
0.229802,9.2033,3.4477,-0.3879,9.1171,3.4093,-0.2825,616.41
0.249805,9.2799,3.4477,-0.2394,9.1842,3.5674,-0.0814,616.41
0.269808,9.3087,3.3950,-0.0670,9.1794,3.2657,0.3160,616.41
0.289812,9.0932,3.1939,0.2155,8.9016,3.0215,0.2490,616.41
0.309815,9.0070,3.1077,0.3304,8.9256,3.0598,0.3208,616.41
0.329815,9.1459,3.1364,0.3543,9.0501,3.1651,0.4597,616.41
0.349815,9.2368,3.2465,0.0383,9.1171,3.2848,0.1149,616.41
0.369816,9.2464,3.3998,-0.0192,9.0501,3.3423,0.2011,616.41
0.389816,9.1937,3.2370,0.0192,9.1028,3.3471,0.1389,616.41
0.409816,9.1411,3.0215,-0.1820,8.9112,3.5195,0.5459,616.41
0.429819,9.1075,3.3375,-0.0910,9.0405,3.5674,0.0575,616.41
0.449821,9.1554,3.2848,0.1724,8.9016,3.2944,0.1580,616.41
0.469822,9.0884,3.2370,0.0622,9.0118,3.3327,0.0096,616.41
0.489826,9.2416,3.2322,0.0239,9.1219,3.1891,0.2346,616.41
0.509827,9.1554,3.2226,0.2921,9.0501,3.2370,-0.1963,616.41
0.529827,9.2751,3.6679,0.2346,8.9687,3.0023,-0.2203,616.41
0.549827,9.2033,3.0981,0.0096,9.1028,3.2561,-0.2155,616.41
0.569828,9.3661,2.8730,-0.2346,9.2368,3.1173,-0.7374,616.41
0.589828,9.3805,2.9497,-0.2394,9.2177,3.0119,0.1006,616.41
0.609832,9.3087,2.7485,-0.3687,9.1794,2.8874,0.0479,616.41
0.629833,8.6957,2.5905,0.5602,10.2520,2.7342,0.7326,616.41
0.649835,9.4810,2.3272,-0.0431,9.4332,2.9688,0.4166,616.41
0.669838,9.4379,2.3415,-0.4549,9.1794,3.0263,-0.8619,616.41
0.689839,8.2935,1.4222,1.2785,10.4579,3.1891,0.3304,616.41
0.709842,9.4284,1.6616,0.5507,8.9783,2.4995,1.0247,616.41
0.729846,9.2751,2.5474,0.0287,9.4763,2.8539,0.2442,616.41
0.749848,9.1698,2.1787,0.4597,9.7923,3.0358,0.7661,616.41
0.769848,9.7731,2.5905,0.3783,9.8019,3.2465,0.5459,616.41
0.789850,9.2560,2.5331,-0.3160,9.6007,3.4668,0.0718,616.41
0.809853,9.4523,2.3655,0.1437,9.4236,3.3615,0.1053,616.41
0.829858,9.8114,2.1308,0.7087,9.3613,2.9784,1.5802,616.41
0.849858,9.5337,2.4948,-0.1101,9.2656,2.8299,0.0670,616.41
0.869862,10.1562,2.8204,-0.3160,9.5385,2.7581,0.4118,616.41
0.889865,9.6055,2.8683,-0.4310,9.6055,3.0215,-0.2298,616.41
0.909869,9.7157,2.5091,-0.0335,9.9072,1.3934,1.8627,616.41
0.929872,9.7157,2.7485,-0.1628,9.4619,2.3750,0.6895,616.41
0.949874,10.4579,2.7533,0.1006,9.8976,2.5379,0.6177,616.41
0.969874,10.2376,3.0311,-0.1628,9.9264,2.4229,0.4788,616.41
0.989876,9.3518,4.1899,-0.0910,9.2703,4.9895,-1.9201,616.41
1.009876,8.6239,3.0167,-0.1053,8.9256,3.6679,0.3831,616.68
1.050017,9.3805,4.0270,0.3352,8.9926,4.5969,1.0247,616.68
1.070019,8.8777,4.6448,-0.4597,9.0980,5.8466,-0.2682,616.68
1.090019,9.4044,5.7365,-0.3448,9.6343,5.9807,-0.6800,616.68
1.110019,9.1123,4.5203,0.2203,8.9112,5.0709,0.2107,616.68
1.130023,8.9160,4.3479,0.2059,8.3653,3.4907,2.0111,616.68
1.150023,9.0118,5.6551,-0.3160,9.3853,6.6367,-1.1301,616.68
1.170024,9.2991,5.4061,0.4597,8.3558,5.3439,0.8045,616.68
1.190024,8.4515,4.1755,-0.6464,8.2073,5.2720,1.4700,616.68
1.210025,9.4763,6.0190,0.8475,8.6862,6.0813,0.8619,616.68
1.230029,7.8003,5.8227,-0.3112,8.0254,7.1108,-2.2170,616.68
1.250029,8.8921,6.3207,0.6895,8.4755,8.0110,3.5291,616.68
1.270030,9.5672,7.5513,-1.1396,9.9647,8.1786,-0.3783,616.68
1.290035,7.1539,5.7365,0.5124,8.4946,7.1156,-6.8809,616.68
