Angle [deg],Speed [m/s],Distance [m],Fx [N],Fy [N],Fz [N],Mx [N*m],My [N*m],Mz [N*m],Ft [N],Ftot [N]
50.89,0.00,0.00,5.01,-5.84,-3.04,-0.60,-1.24,0.06,0.25,8.27
50.89,0.00,0.00,4.57,-5.82,-2.76,-0.62,-1.21,0.09,0.33,7.89
50.89,0.00,0.00,4.32,-5.72,-2.39,-0.63,-1.15,0.06,0.25,7.56
50.89,0.00,0.00,4.32,-5.72,-2.02,-0.64,-1.10,0.06,0.25,7.45
50.89,0.00,0.00,4.49,-5.75,-1.38,-0.66,-1.01,0.06,0.25,7.43
50.89,0.00,0.00,4.65,-5.88,-0.92,-0.67,-0.94,0.04,0.17,7.55
50.89,0.00,0.00,4.82,-5.91,-0.55,-0.65,-0.85,0.04,0.17,7.64
50.89,0.00,0.00,4.82,-5.91,-0.37,-0.65,-0.81,-0.02,-0.08,7.63
50.89,0.00,0.00,4.77,-5.64,-0.37,-0.65,-0.81,-0.06,-0.25,7.40
50.89,0.00,0.00,4.55,-5.35,-0.46,-0.65,-0.83,-0.11,-0.42,7.04
50.89,0.00,0.00,4.41,-5.12,-0.74,-0.64,-0.87,-0.13,-0.50,6.80
50.89,0.00,0.00,4.27,-4.89,-1.10,-0.60,-0.89,-0.09,-0.33,6.59
50.89,0.00,0.00,4.03,-4.70,-1.29,-0.59,-0.91,-0.02,-0.08,6.33
50.89,0.00,0.00,4.03,-4.70,-1.56,-0.55,-0.91,0.04,0.17,6.39
50.89,0.00,0.00,4.02,-4.80,-1.75,-0.54,-0.92,0.09,0.33,6.50
50.89,0.00,0.00,4.18,-4.93,-1.93,-0.52,-0.94,0.13,0.50,6.74
50.89,0.00,0.00,4.51,-5.09,-2.21,-0.53,-1.00,0.11,0.42,7.15
50.89,0.00,0.00,4.90,-5.41,-2.48,-0.54,-1.06,0.09,0.33,7.71
50.89,0.00,0.00,5.23,-5.56,-2.85,-0.55,-1.15,0.06,0.25,8.15
50.89,0.00,0.00,5.55,-5.82,-3.31,-0.57,-1.25,0.02,0.08,8.69
50.89,0.00,0.00,5.72,-5.85,-3.68,-0.60,-1.36,-0.04,-0.17,8.97
50.89,0.00,0.00,5.99,-5.84,-4.23,-0.65,-1.51,-0.06,-0.25,9.37
50.89,0.00,0.00,6.35,-5.79,-4.69,-0.71,-1.67,-0.17,-0.67,9.79
50.89,0.00,0.00,6.89,-5.78,-5.24,-0.78,-1.85,-0.28,-1.09,10.41
50.89,0.00,0.00,7.50,-5.82,-5.80,-0.86,-2.06,-0.37,-1.42,11.13
50.89,0.00,0.00,8.07,-6.17,-6.53,-0.94,-2.28,-0.45,-1.76,12.08
50.89,0.00,0.00,8.53,-6.66,-7.64,-0.98,-2.53,-0.47,-1.84,13.24
50.89,0.00,0.00,9.06,-7.20,-8.74,-1.02,-2.78,-0.41,-1.59,14.51
50.89,0.00,0.00,9.60,-7.75,-10.03,-1.04,-3.04,-0.34,-1.34,15.90
50.89,0.00,0.00,10.42,-8.19,-11.32,-1.06,-3.31,-0.28,-1.09,17.43
50.89,0.00,0.00,11.43,-8.56,-12.70,-1.09,-3.59,-0.26,-1.00,19.11
50.89,0.00,0.00,12.55,-8.79,-13.98,-1.12,-3.85,-0.30,-1.17,20.74
50.89,0.00,0.00,13.57,-9.06,-15.27,-1.14,-4.11,-0.39,-1.50,22.35
50.89,0.00,0.00,14.61,-9.23,-16.19,-1.17,-4.32,-0.45,-1.76,23.68
50.89,0.00,0.00,15.47,-9.47,-16.84,-1.22,-4.49,-0.54,-2.09,24.74
50.89,0.00,0.00,16.03,-9.81,-17.20,-1.25,-4.61,-0.62,-2.42,25.48
50.89,0.00,0.00,16.62,-10.06,-17.20,-1.28,-4.63,-0.69,-2.68,25.95
50.89,0.00,0.00,17.01,-10.38,-17.02,-1.29,-4.62,-0.77,-3.01,26.21
50.89,0.00,0.00,17.31,-10.74,-16.65,-1.28,-4.54,-0.84,-3.26,26.31
50.89,0.00,0.00,17.61,-11.09,-16.28,-1.24,-4.43,-0.90,-3.51,26.43
