Angle [deg],Speed [m/s],Distance [m],Fx [N],Fy [N],Fz [N],Mx [N*m],My [N*m],Mz [N*m],Ft [N],Ftot [N]
164.09,0.00,0.00,-5.54,-4.99,0.83,0.07,-0.15,0.09,0.33,7.50
164.09,0.00,0.00,-5.44,-4.96,1.01,0.06,-0.17,0.06,0.25,7.43
164.09,0.00,0.00,-5.41,-4.87,0.92,0.02,-0.15,0.02,0.08,7.34
164.09,0.00,0.00,-5.39,-4.77,0.74,-0.01,-0.12,0.04,0.17,7.23
164.09,0.00,0.00,-5.16,-4.62,0.64,-0.03,-0.10,0.09,0.33,6.96
164.09,0.00,0.00,-5.09,-4.69,0.55,-0.04,-0.09,0.17,0.67,6.95
164.09,0.00,0.00,-5.02,-4.77,0.46,-0.02,-0.08,0.19,0.75,6.94
164.09,0.00,0.00,-5.05,-4.86,0.37,-0.00,-0.08,0.24,0.92,7.02
164.09,0.00,0.00,-5.15,-4.89,0.46,0.01,-0.09,0.26,1.00,7.11
164.09,0.00,0.00,-5.51,-4.89,0.46,0.01,-0.09,0.24,0.92,7.38
164.09,0.00,0.00,-5.89,-4.62,0.37,-0.00,-0.08,0.24,0.92,7.50
164.09,0.00,0.00,-6.11,-4.41,0.37,-0.04,-0.07,0.24,0.92,7.54
164.09,0.00,0.00,-6.15,-4.23,0.46,-0.06,-0.07,0.24,0.92,7.48
164.09,0.00,0.00,-5.95,-4.19,0.46,-0.06,-0.07,0.19,0.75,7.29
164.09,0.00,0.00,-5.56,-4.09,0.64,-0.03,-0.10,0.17,0.67,6.93
164.09,0.00,0.00,-5.32,-4.21,0.74,-0.01,-0.12,0.13,0.50,6.82
164.09,0.00,0.00,-5.11,-4.43,0.74,0.02,-0.13,0.06,0.25,6.80
164.09,0.00,0.00,-5.09,-4.69,0.74,0.02,-0.13,0.04,0.17,6.96
164.09,0.00,0.00,-5.25,-4.91,0.64,0.02,-0.15,0.02,0.08,7.22
164.09,0.00,0.00,-5.44,-4.96,0.55,0.00,-0.13,0.00,0.00,7.39
164.09,0.00,0.00,-5.57,-5.09,0.55,-0.03,-0.12,0.00,0.00,7.56
164.09,0.00,0.00,-5.74,-5.04,0.64,-0.06,-0.09,0.00,0.00,7.66
164.09,0.00,0.00,-5.68,-4.84,0.74,-0.08,-0.10,-0.02,-0.08,7.50
164.09,0.00,0.00,-5.70,-4.57,0.55,-0.08,-0.08,0.00,0.00,7.33
164.09,0.00,0.00,-5.67,-4.48,0.46,-0.06,-0.07,0.02,0.08,7.24
164.09,0.00,0.00,-5.81,-4.33,0.28,-0.02,-0.06,0.04,0.17,7.25
164.09,0.00,0.00,-5.84,-4.43,0.18,0.04,-0.07,0.09,0.33,7.33
164.09,0.00,0.00,-5.77,-4.50,0.28,0.09,-0.09,0.11,0.42,7.32
164.09,0.00,0.00,-5.80,-4.60,0.55,0.10,-0.13,0.15,0.59,7.42
164.09,0.00,0.00,-5.82,-4.70,0.64,0.11,-0.14,0.19,0.75,7.51
164.09,0.00,0.00,-5.87,-4.53,0.74,0.09,-0.15,0.26,1.00,7.45
164.09,0.00,0.00,-5.94,-4.45,0.55,0.10,-0.13,0.30,1.17,7.44
164.09,0.00,0.00,-5.88,-4.26,0.09,0.09,-0.07,0.34,1.34,7.26
164.09,0.00,0.00,-5.92,-4.09,-0.28,0.10,-0.03,0.34,1.34,7.20
164.09,0.00,0.00,-5.99,-4.01,-0.64,0.15,0.00,0.32,1.25,7.24
164.09,0.00,0.00,-5.99,-4.01,-0.55,0.17,-0.01,0.26,1.00,7.24
164.09,0.00,0.00,-6.09,-4.04,-0.28,0.17,-0.05,0.22,0.84,7.32
164.09,0.00,0.00,-6.15,-4.23,0.28,0.12,-0.10,0.17,0.67,7.47
164.09,0.00,0.00,-6.18,-4.33,0.74,0.06,-0.14,0.15,0.59,7.58
164.09,0.00,0.00,-6.18,-4.33,1.10,0.01,-0.17,0.15,0.59,7.62
164.09,0.00,0.00,-5.87,-4.53,1.29,-0.07,-0.17,0.13,0.50,7.52
164.09,0.00,0.00,-5.63,-4.65,1.20,-0.12,-0.14,0.09,0.33,7.39
164.09,0.00,0.00,-5.53,-4.62,0.92,-0.12,-0.11,0.06,0.25,7.26
164.09,0.00,0.00,-5.36,-4.67,0.74,-0.12,-0.09,0.00,0.00,7.15
164.09,0.00,0.00,-5.43,-4.60,0.55,-0.08,-0.08,-0.02,-0.08,7.14
164.09,0.00,0.00,-5.47,-4.43,0.46,-0.02,-0.08,-0.02,-0.08,7.05
164.09,0.00,0.00,-5.51,-4.26,0.37,-0.00,-0.08,0.04,0.17,6.98
164.00,0.00,0.00,-5.59,-4.18,0.37,0.03,-0.09,0.15,0.59,6.99
164.00,0.00,0.00,-5.58,-4.08,0.46,0.05,-0.10,0.24,0.92,6.92
164.00,0.00,0.00,-5.65,-4.00,0.55,0.03,-0.11,0.28,1.09,6.95
164.00,0.00,0.00,-5.75,-4.03,0.64,-0.03,-0.10,0.30,1.17,7.05
164.00,0.00,0.00,-5.82,-3.96,0.64,-0.06,-0.09,0.28,1.09,7.06
164.00,0.00,0.00,-5.89,-3.88,0.74,-0.08,-0.10,0.26,1.00,7.09
164.00,0.00,0.00,-5.79,-3.86,0.74,-0.08,-0.10,0.24,0.92,7.00
164.00,0.00,0.00,-5.66,-3.74,0.74,-0.05,-0.11,0.24,0.92,6.82
164.00,0.00,0.00,-5.47,-3.69,0.74,-0.01,-0.12,0.19,0.75,6.63
164.00,0.00,0.00,-5.37,-3.66,0.83,0.00,-0.13,0.17,0.67,6.55
164.00,0.00,0.00,-5.20,-3.71,0.92,0.01,-0.15,0.11,0.42,6.45
164.00,0.00,0.00,-5.10,-3.69,0.92,0.01,-0.15,0.09,0.33,6.36
164.00,0.00,0.00,-5.20,-3.71,0.74,-0.01,-0.12,0.04,0.17,6.43
164.00,0.00,0.00,-5.37,-3.66,0.46,-0.02,-0.08,0.04,0.17,6.51
164.00,0.00,0.00,-5.44,-3.59,0.18,-0.03,-0.05,0.09,0.33,6.52
164.00,0.00,0.00,-5.37,-3.66,-0.18,0.01,-0.02,0.17,0.67,6.50
164.00,0.00,0.00,-5.32,-3.83,-0.09,0.06,-0.04,0.24,0.92,6.56
164.00,0.00,0.00,-5.14,-4.15,0.00,0.11,-0.07,0.28,1.09,6.61
164.00,0.00,0.00,-5.10,-4.32,0.46,0.12,-0.12,0.28,1.09,6.70
164.00,0.00,0.00,-4.99,-4.56,0.83,0.07,-0.15,0.24,0.92,6.81
164.00,0.00,0.00,-5.08,-4.59,1.20,-0.01,-0.17,0.19,0.75,6.95
164.00,0.00,0.00,-5.42,-4.49,1.38,-0.09,-0.17,0.19,0.75,7.18
164.00,0.00,0.00,-5.73,-4.30,1.47,-0.14,-0.17,0.22,0.84,7.31
164.00,0.00,0.00,-6.07,-4.20,1.29,-0.17,-0.14,0.28,1.09,7.49
164.00,0.00,0.00,-6.34,-4.18,1.20,-0.15,-0.13,0.30,1.17,7.68
163.92,0.00,0.00,-6.27,-4.25,0.92,-0.13,-0.11,0.26,1.00,7.63
163.92,0.00,0.00,-6.22,-4.31,0.55,-0.08,-0.08,0.22,0.84,7.59
163.92,0.00,0.00,-6.08,-4.46,0.28,-0.05,-0.05,0.13,0.50,7.54
163.92,0.00,0.00,-5.87,-4.68,0.09,-0.05,-0.03,0.06,0.25,7.50
163.92,0.00,0.00,-5.74,-4.56,-0.09,-0.04,-0.01,0.06,0.25,7.33
163.92,0.00,0.00,-5.74,-4.56,-0.09,-0.04,-0.01,0.13,0.50,7.33
163.92,0.00,0.00,-5.74,-4.56,-0.09,-0.01,-0.02,0.19,0.75,7.33
163.92,0.00,0.00,-5.64,-4.53,0.09,0.02,-0.05,0.24,0.92,7.24
163.92,0.00,0.00,-5.61,-4.43,0.09,0.09,-0.07,0.26,1.00,7.15
163.92,0.00,0.00,-5.71,-4.46,0.18,0.14,-0.10,0.22,0.84,7.25
163.92,0.00,0.00,-5.71,-4.46,0.09,0.16,-0.09,0.15,0.59,7.25
163.92,0.00,0.00,-5.61,-4.43,-0.09,0.13,-0.06,0.06,0.25,7.15
163.92,0.00,0.00,-5.54,-4.51,-0.37,0.09,-0.02,0.02,0.08,7.15
163.92,0.00,0.00,-5.40,-4.65,-0.55,0.06,0.02,0.00,0.00,7.15
163.92,0.00,0.00,-5.26,-4.80,-0.55,0.06,0.02,0.04,0.17,7.14
163.92,0.00,0.00,-5.16,-4.78,-0.46,0.08,0.00,0.09,0.33,7.05
163.92,0.00,0.00,-5.12,-4.95,-0.18,0.12,-0.05,0.15,0.59,7.12
163.92,0.00,0.00,-5.02,-4.92,0.18,0.14,-0.10,0.19,0.75,7.03
163.92,0.00,0.00,-4.99,-4.82,0.37,0.14,-0.12,0.22,0.84,6.95
163.92,0.00,0.00,-4.99,-4.82,0.64,0.08,-0.13,0.22,0.84,6.97
163.92,0.00,0.00,-5.03,-4.65,0.74,0.02,-0.13,0.22,0.84,6.90
