Timestamp,A_x,A_y,A_z,B_x,B_y,B_z,Altitude
0.000000,-8.1594,-5.3870,0.7039,-8.1451,-5.4540,0.5938,660.43
0.069773,-8.2696,-5.2146,0.7614,-8.1163,-5.1044,0.6991,660.43
0.089776,-8.2504,-5.1954,0.7230,-8.1451,-5.0853,0.6656,660.43
0.109779,-8.1882,-5.2098,0.7566,-8.2025,-5.2864,0.8140,660.43
0.129779,-8.0972,-5.3391,0.8667,-8.0876,-5.2241,0.9194,660.43
0.149780,-8.0685,-5.5210,0.7518,-7.9871,-5.4588,0.7230,660.43
0.169780,-7.8817,-5.6120,0.7422,-7.8386,-5.7604,1.0008,660.43
0.189781,-8.0302,-5.6360,0.7230,-7.9344,-5.7940,0.6847,660.43
0.209785,-7.8626,-5.7269,0.7949,-7.8530,-5.9999,0.9673,660.43
0.229786,-7.9344,-5.7174,0.7709,-7.8482,-5.9807,0.7135,660.43
0.249787,-7.8051,-5.9233,0.7374,-7.7428,-6.1579,0.7661,660.43
0.269792,-7.8769,-5.9233,0.5794,-7.7764,-6.1531,0.5076,660.43
0.289795,-7.7141,-5.8945,0.5794,-7.7572,-6.1100,0.6369,660.43
0.309796,-7.9009,-5.8802,0.6129,-7.9104,-6.0334,0.5124,660.43
0.329800,-7.9009,-5.7461,0.6704,-7.8482,-5.8371,0.6991,660.43
0.349800,-7.9727,-5.6455,0.7901,-7.8913,-5.7174,0.6560,660.43
0.369800,-7.9775,-5.6743,0.7997,-7.9152,-5.6360,0.7087,660.43
0.389802,-7.9966,-5.6360,0.7087,-7.9487,-5.6407,0.7039,660.43
0.409806,-7.9248,-5.6599,0.6943,-7.9200,-5.6934,0.6225,660.43
0.429806,-7.9296,-5.7174,0.7422,-7.8434,-5.7796,0.6560,660.43
0.449810,-7.8338,-5.6790,0.8188,-7.8147,-5.8897,0.8236,660.43
0.469811,-7.7668,-5.8610,0.7278,-7.8243,-5.9999,0.8188,660.43
0.489816,-7.8051,-5.8993,0.7757,-7.7620,-5.8993,0.8045,660.43
0.509817,-7.7524,-5.9137,0.8045,-7.7381,-6.0382,0.8236,660.43
0.529820,-7.6902,-5.9089,0.8284,-7.7141,-6.0765,0.8332,660.43
0.549824,-7.6950,-5.8945,0.8236,-7.6806,-6.1004,0.7518,660.43
0.569826,-7.7141,-5.8849,0.8045,-7.7093,-6.0238,0.6704,660.43
0.589831,-7.7428,-5.8897,0.7518,-7.7237,-5.8849,0.8188,660.43
