Angle [deg],Speed [m/s],Distance [m],Fx [N],Fy [N],Fz [N],Mx [N*m],My [N*m],Mz [N*m],Ft [N],Ftot [N]
159.87,-0.00,0.00,-9.74,-19.10,-3.68,-2.17,1.21,-1.72,-6.69,21.76
159.87,-0.00,0.00,-9.83,-18.85,-3.77,-2.08,1.19,-1.68,-6.52,21.60
159.87,-0.00,0.00,-10.06,-18.45,-3.77,-2.01,1.16,-1.68,-6.52,21.35
159.87,-0.00,0.00,-10.18,-17.75,-3.59,-2.02,1.14,-1.68,-6.52,20.78
159.87,-0.00,0.00,-10.36,-16.98,-3.50,-2.04,1.14,-1.63,-6.35,20.20
159.87,-0.00,0.00,-10.45,-16.20,-3.31,-2.08,1.13,-1.55,-6.02,19.56
159.87,-0.00,0.00,-10.41,-15.56,-3.13,-2.12,1.13,-1.48,-5.77,18.98
159.87,0.00,0.00,-10.33,-15.10,-3.04,-2.15,1.12,-1.42,-5.52,18.55
159.87,0.00,0.00,-10.13,-14.80,-3.04,-2.11,1.11,-1.38,-5.35,18.19
159.87,0.00,0.00,-9.92,-14.50,-3.04,-2.08,1.10,-1.40,-5.43,17.83
159.87,0.00,0.00,-9.65,-14.27,-3.13,-2.09,1.11,-1.40,-5.43,17.51
159.87,0.00,0.00,-9.35,-13.95,-3.22,-2.07,1.12,-1.38,-5.35,17.10
159.87,0.00,0.00,-9.24,-13.67,-3.22,-2.10,1.13,-1.31,-5.10,16.81
159.87,-0.00,0.00,-9.01,-13.54,-3.13,-2.09,1.11,-1.20,-4.68,16.56
159.87,-0.00,0.00,-8.84,-13.33,-2.94,-2.06,1.08,-1.05,-4.10,16.26
159.87,-0.00,0.00,-8.80,-13.23,-2.67,-2.02,1.03,-0.90,-3.51,16.11
159.87,-0.00,0.00,-8.73,-13.04,-2.39,-1.98,0.98,-0.80,-3.09,15.88
159.87,-0.00,0.00,-8.63,-12.76,-2.21,-1.96,0.95,-0.73,-2.84,15.56
159.87,-0.00,0.00,-8.59,-12.39,-2.30,-1.97,0.97,-0.69,-2.68,15.25
159.87,-0.00,0.00,-8.58,-12.12,-2.67,-1.99,1.02,-0.67,-2.59,15.09
159.87,-0.00,0.00,-8.44,-11.74,-3.04,-2.01,1.07,-0.65,-2.51,14.78
159.87,-0.00,0.00,-8.34,-11.46,-3.40,-2.02,1.09,-0.58,-2.26,14.57
159.87,-0.00,0.00,-8.30,-11.36,-3.50,-2.04,1.10,-0.49,-1.92,14.50
159.87,-0.00,0.00,-8.27,-11.27,-3.59,-2.02,1.11,-0.41,-1.59,14.43
159.87,-0.00,0.00,-8.30,-11.36,-3.22,-2.00,1.09,-0.37,-1.42,14.44
159.87,-0.00,0.00,-8.44,-11.47,-3.13,-1.99,1.08,-0.30,-1.17,14.58
159.87,-0.00,0.00,-8.37,-11.55,-2.94,-2.00,1.06,-0.28,-1.09,14.57
159.87,-0.00,0.00,-8.37,-11.55,-2.94,-2.00,1.06,-0.28,-1.09,14.57
159.87,-0.00,0.00,-8.21,-11.61,-2.94,-2.03,1.07,-0.28,-1.09,14.52
159.87,-0.00,0.00,-8.01,-11.58,-2.94,-2.06,1.08,-0.26,-1.00,14.38
159.87,-0.00,0.00,-7.74,-11.62,-2.94,-2.13,1.11,-0.28,-1.09,14.27
159.87,-0.00,0.00,-7.55,-11.85,-2.94,-2.23,1.14,-0.28,-1.09,14.36
159.87,-0.00,0.00,-7.45,-12.10,-3.13,-2.33,1.20,-0.26,-1.00,14.56
159.87,-0.00,0.00,-7.46,-12.37,-3.31,-2.49,1.28,-0.22,-0.84,14.82
159.87,-0.00,0.00,-7.36,-12.62,-3.50,-2.62,1.35,-0.19,-0.75,15.03
159.87,-0.00,0.00,-7.27,-12.88,-3.68,-2.79,1.43,-0.17,-0.67,15.24
159.87,-0.00,0.00,-7.27,-13.14,-3.68,-2.92,1.48,-0.19,-0.75,15.47
159.96,-0.00,0.00,-7.14,-13.30,-3.86,-3.05,1.55,-0.22,-0.84,15.58
159.96,-0.00,0.00,-7.01,-13.56,-4.05,-3.18,1.62,-0.26,-1.00,15.80
159.96,-0.00,0.00,-7.02,-13.83,-4.32,-3.26,1.68,-0.28,-1.09,16.10
159.96,-0.00,0.00,-7.06,-14.19,-4.78,-3.33,1.76,-0.26,-1.00,16.56
159.96,-0.00,0.00,-7.06,-14.46,-5.15,-3.38,1.83,-0.22,-0.84,16.90
159.96,-0.00,0.00,-7.17,-14.75,-5.43,-3.42,1.87,-0.22,-0.84,17.27
159.96,-0.00,0.00,-7.20,-14.84,-5.52,-3.47,1.90,-0.24,-0.92,17.40
159.96,-0.00,0.00,-7.13,-14.92,-5.43,-3.52,1.91,-0.28,-1.09,17.41
159.96,-0.00,0.00,-7.07,-15.00,-5.34,-3.57,1.88,-0.32,-1.25,17.42
159.96,-0.00,0.00,-7.03,-14.90,-5.15,-3.58,1.86,-0.30,-1.17,17.27
159.96,-0.00,0.00,-6.97,-14.98,-5.15,-3.58,1.86,-0.28,-1.09,17.31
159.96,-0.00,0.00,-6.90,-14.79,-5.34,-3.54,1.87,-0.24,-0.92,17.17
159.96,-0.00,0.00,-6.73,-14.58,-5.52,-3.50,1.88,-0.22,-0.84,16.98
160.05,-0.00,0.00,-6.66,-14.39,-5.52,-3.43,1.89,-0.24,-0.92,16.79
160.05,-0.00,0.00,-6.36,-14.18,-5.43,-3.39,1.86,-0.30,-1.17,16.46
160.05,-0.00,0.00,-6.22,-14.06,-5.06,-3.34,1.79,-0.37,-1.42,16.19
160.05,-0.00,0.00,-6.16,-14.14,-4.60,-3.27,1.71,-0.41,-1.59,16.09
160.05,-0.00,0.00,-6.39,-14.27,-4.23,-3.21,1.65,-0.45,-1.76,16.20
160.05,-0.00,0.00,-6.66,-14.50,-3.86,-3.19,1.60,-0.45,-1.76,16.42
160.05,-0.00,0.00,-6.79,-14.61,-3.77,-3.18,1.58,-0.39,-1.50,16.55
160.05,-0.00,0.00,-6.83,-14.71,-3.86,-3.23,1.61,-0.28,-1.09,16.67
160.05,-0.00,0.00,-6.63,-14.67,-4.05,-3.29,1.65,-0.19,-0.75,16.60
160.05,-0.00,0.00,-6.33,-14.62,-4.23,-3.35,1.70,-0.06,-0.25,16.48
160.05,-0.00,0.00,-5.96,-14.64,-4.32,-3.40,1.73,0.02,0.08,16.39
160.05,-0.00,0.00,-5.86,-14.62,-4.23,-3.42,1.72,0.06,0.25,16.31
160.05,-0.00,0.00,-6.06,-14.66,-4.14,-3.37,1.69,0.04,0.17,16.40
160.05,-0.00,0.00,-6.36,-14.71,-3.96,-3.31,1.65,-0.02,-0.08,16.51
160.05,-0.00,0.00,-6.79,-14.61,-3.86,-3.23,1.61,-0.13,-0.50,16.57
160.05,-0.00,0.00,-7.02,-14.47,-3.77,-3.18,1.58,-0.22,-0.84,16.52
160.05,-0.00,0.00,-6.96,-14.28,-3.77,-3.11,1.55,-0.30,-1.17,16.33
160.05,-0.00,0.00,-6.85,-14.00,-3.86,-3.06,1.55,-0.30,-1.17,16.06
160.05,-0.00,0.00,-6.55,-13.67,-3.86,-3.02,1.53,-0.28,-1.09,15.65
160.05,-0.00,0.00,-6.25,-13.62,-3.86,-3.02,1.53,-0.22,-0.84,15.48
160.05,-0.00,0.00,-6.08,-13.68,-3.86,-3.02,1.53,-0.15,-0.59,15.46
160.05,-0.00,0.00,-5.95,-13.84,-4.05,-3.05,1.57,-0.11,-0.42,15.60
160.05,-0.00,0.00,-5.82,-13.99,-4.14,-3.06,1.58,-0.06,-0.25,15.71
160.05,-0.00,0.00,-5.92,-14.01,-4.14,-3.10,1.59,-0.04,-0.17,15.76
160.05,0.00,0.00,-5.99,-13.93,-4.05,-3.08,1.58,-0.06,-0.25,15.70
160.05,0.00,0.00,-6.41,-13.56,-3.77,-3.08,1.54,-0.09,-0.33,15.47
160.05,0.00,0.00,-6.57,-13.23,-3.59,-3.02,1.50,-0.13,-0.50,15.21
160.05,0.00,0.00,-6.74,-12.90,-3.40,-2.99,1.46,-0.17,-0.67,14.95
160.05,0.00,0.00,-6.67,-12.98,-3.40,-2.96,1.45,-0.22,-0.84,14.99
160.05,0.00,0.00,-6.44,-13.12,-3.40,-2.96,1.45,-0.26,-1.00,15.01
160.05,0.00,0.00,-6.08,-13.41,-3.50,-2.97,1.47,-0.32,-1.25,15.14
160.05,0.00,0.00,-5.72,-13.71,-3.68,-2.96,1.49,-0.32,-1.25,15.30
160.05,0.00,0.00,-5.55,-13.77,-3.96,-2.97,1.52,-0.32,-1.25,15.36
160.05,0.00,0.00,-5.58,-13.59,-4.05,-2.95,1.53,-0.32,-1.25,15.24
160.05,0.00,0.00,-5.81,-13.46,-4.05,-2.91,1.52,-0.28,-1.09,15.21
160.05,0.00,0.00,-6.08,-13.41,-4.05,-2.88,1.50,-0.26,-1.00,15.27
160.05,0.00,0.00,-6.44,-13.39,-3.86,-2.85,1.47,-0.22,-0.84,15.35
160.05,0.00,0.00,-6.74,-13.44,-3.68,-2.82,1.44,-0.22,-0.84,15.48
160.05,0.00,0.00,-6.98,-13.57,-3.50,-2.80,1.41,-0.19,-0.75,15.66
160.05,0.00,0.00,-7.14,-13.51,-3.31,-2.81,1.39,-0.19,-0.75,15.64
160.05,0.00,0.00,-7.31,-13.45,-3.22,-2.83,1.38,-0.19,-0.75,15.64
160.05,0.00,0.00,-7.14,-13.24,-3.31,-2.84,1.40,-0.24,-0.92,15.41
160.05,0.00,0.00,-6.97,-13.04,-3.40,-2.89,1.43,-0.28,-1.09,15.17
160.05,0.00,0.00,-6.67,-12.98,-3.50,-2.93,1.46,-0.34,-1.34,15.01
160.05,0.00,0.00,-6.37,-12.93,-3.59,-2.98,1.48,-0.41,-1.59,14.85
160.05,0.00,0.00,-6.17,-13.16,-3.68,-3.00,1.50,-0.47,-1.84,15.00
160.05,0.00,0.00,-6.14,-13.34,-3.77,-3.01,1.52,-0.54,-2.09,15.16
160.05,0.00,0.00,-6.31,-13.54,-3.96,-2.96,1.49,-0.56,-2.17,15.46
160.05,0.00,0.00,-6.62,-13.87,-4.14,-2.89,1.48,-0.58,-2.26,15.91
160.05,0.00,0.00,-6.99,-14.11,-4.32,-2.81,1.48,-0.56,-2.17,16.33
159.96,0.00,0.00,-7.39,-14.18,-4.42,-2.73,1.49,-0.47,-1.84,16.59
159.96,0.00,0.00,-7.62,-14.20,-4.51,-2.70,1.50,-0.37,-1.42,16.74
159.96,0.00,0.00,-7.46,-14.26,-4.60,-2.72,1.52,-0.24,-0.92,16.74
159.96,0.00,0.00,-7.06,-14.19,-4.51,-2.74,1.51,-0.13,-0.50,16.48
159.96,0.00,0.00,-6.69,-14.22,-4.32,-2.78,1.51,-0.04,-0.17,16.30
159.96,0.00,0.00,-6.23,-14.23,-4.05,-2.77,1.47,-0.04,-0.17,16.05
159.96,0.00,0.00,-5.86,-14.25,-3.77,-2.73,1.42,-0.09,-0.33,15.86
159.96,0.00,0.00,-5.73,-14.41,-3.50,-2.69,1.37,-0.17,-0.67,15.89
159.96,0.00,0.00,-5.80,-14.60,-3.31,-2.67,1.34,-0.34,-1.34,16.05
159.96,0.00,0.00,-5.97,-14.81,-3.04,-2.66,1.31,-0.43,-1.67,16.25
159.96,0.00,0.00,-6.04,-15.00,-3.04,-2.66,1.31,-0.47,-1.84,16.45
159.96,0.00,0.00,-6.21,-15.21,-2.94,-2.71,1.31,-0.49,-1.92,16.69
159.96,0.00,0.00,-6.34,-15.32,-3.04,-2.76,1.34,-0.43,-1.67,16.86
159.96,0.00,0.00,-6.61,-15.28,-3.04,-2.80,1.36,-0.41,-1.59,16.92
159.96,0.00,0.00,-7.01,-15.35,-3.13,-2.81,1.37,-0.39,-1.50,17.16
159.96,0.00,0.00,-7.17,-15.29,-3.31,-2.80,1.39,-0.39,-1.50,17.21
159.96,0.00,0.00,-7.17,-15.29,-3.50,-2.76,1.40,-0.39,-1.50,17.24
159.87,0.00,0.00,-6.91,-15.33,-3.59,-2.71,1.39,-0.47,-1.84,17.19
159.87,0.00,0.00,-6.58,-15.34,-3.50,-2.66,1.37,-0.52,-2.01,17.06
159.87,0.00,0.00,-6.08,-15.26,-3.40,-2.61,1.34,-0.56,-2.17,16.77
159.87,0.00,0.00,-5.92,-15.32,-3.22,-2.58,1.30,-0.56,-2.17,16.73
159.87,0.00,0.00,-6.05,-15.16,-3.13,-2.57,1.29,-0.54,-2.09,16.62
159.87,0.00,0.00,-6.31,-15.12,-3.04,-2.59,1.28,-0.52,-2.01,16.66
