Timestamp,A_x,A_y,A_z,B_x,B_y,B_z,Altitude
0.000000,-7.1730,-6.6607,0.8428,-7.0677,-6.4739,0.8715,661.05
0.069772,-7.2305,-6.5601,0.7661,-7.2209,-6.5362,1.1253,661.05
0.089776,-7.2401,-6.5505,0.5794,-7.2113,-6.4548,0.4262,661.05
0.109779,-7.2927,-6.5649,0.6129,-7.2065,-6.5314,0.4022,661.05
0.129779,-7.1251,-6.5793,0.7039,-7.1012,-6.6224,0.6943,661.05
0.149784,-7.1156,-6.6750,0.6800,-7.0390,-6.8235,0.6033,661.05
0.169785,-7.0581,-6.8043,0.5363,-6.9959,-7.0198,0.5698,661.05
0.189789,-7.1012,-6.8474,0.6752,-6.9528,-7.0294,0.5794,661.05
0.209789,-6.9240,-6.8426,0.6321,-6.9432,-6.9767,0.6656,661.05
0.229789,-6.8761,-6.7564,0.6991,-6.8809,-6.9097,0.6800,661.05
0.249789,-6.9432,-6.8857,0.7326,-6.8953,-7.0102,0.7326,661.05
0.269789,-6.9001,-6.8953,0.6608,-6.8522,-7.0390,0.7518,661.05
0.289789,-6.8474,-6.8570,0.7230,-6.8043,-7.0437,0.7087,661.05
0.309789,-6.8474,-7.0629,0.8140,-6.7900,-7.2688,0.8571,661.05
0.329792,-6.8091,-7.0964,0.8236,-6.7708,-7.3023,0.8763,661.05
0.349792,-6.8235,-7.0437,0.8475,-6.7469,-7.2353,0.8715,661.05
0.369796,-6.9192,-6.7469,0.7901,-6.8905,-6.7852,0.7614,661.05
0.389801,-6.9623,-6.7086,0.8571,-6.9240,-6.7804,0.8092,661.05
0.409805,-6.8905,-6.8570,0.7757,-6.8761,-6.9719,0.7709,661.05
0.429805,-6.8139,-7.0820,0.6991,-6.7373,-7.2736,0.7470,661.05
0.449805,-6.7852,-7.0437,0.6800,-6.7038,-7.2592,0.6129,661.05
0.469808,-6.7564,-7.0868,0.6512,-6.7181,-7.3023,0.6369,661.05
0.489810,-6.8235,-7.0916,0.6033,-6.6942,-7.3406,0.6273,661.05
0.509811,-6.7660,-7.0677,0.6081,-6.6846,-7.3310,0.6752,661.05
0.529814,-6.7564,-7.0677,0.7039,-6.6942,-7.2305,0.6847,661.05
0.549816,-6.7995,-6.8761,0.7470,-6.7660,-7.0533,0.6512,661.05
0.569816,-6.8666,-6.8378,0.7518,-6.7708,-6.9576,0.7135,661.05
0.589819,-6.9576,-6.8331,0.7326,-6.8953,-6.9432,0.7709,661.05
0.609820,-6.9959,-6.8378,0.8140,-6.9336,-6.8091,0.8523,661.05
0.629821,-7.0916,-6.7900,0.6847,-7.0150,-6.8043,0.6512,661.05
0.649821,-6.9863,-6.8139,0.7614,-6.9001,-6.9432,0.7230,661.05
0.669821,-7.0150,-6.7708,0.7518,-6.9432,-6.8139,0.7087,661.05
0.689821,-7.1012,-6.6655,0.8475,-7.0581,-6.5984,1.1013,661.05
0.709823,-7.0581,-6.5266,0.7470,-7.0437,-6.4643,0.7422,661.05
0.729823,-7.0581,-6.6080,0.7278,-6.9959,-6.5314,0.7901,661.05
0.749826,-7.1299,-6.6272,0.6464,-7.1251,-6.5553,0.4884,661.05
0.769826,-7.1299,-6.6080,0.6464,-7.0533,-6.4883,0.5890,661.05
0.789827,-7.0581,-6.6990,0.6512,-7.0725,-6.5697,0.7039,661.05
0.809830,-7.1347,-6.5841,0.6321,-7.0629,-6.4165,0.5794,661.05
0.829832,-7.2257,-6.5457,0.7183,-7.1826,-6.4117,0.6273,661.05
0.849832,-7.1299,-6.6176,0.6177,-7.1587,-6.4787,0.6129,661.05
0.869835,-7.1730,-6.6080,0.7278,-7.1108,-6.4739,0.7901,661.05
0.889837,-7.2257,-6.5984,0.6991,-7.1730,-6.4356,0.5986,661.05
0.909841,-7.2305,-6.5314,0.6943,-7.1204,-6.3303,0.5794,661.05
0.929843,-7.1491,-6.4835,0.7326,-7.1539,-6.3063,0.7566,661.05
0.949848,-7.1826,-6.4260,0.7135,-7.1539,-6.1483,0.6895,661.05
0.969848,-7.1874,-6.5027,0.7374,-7.1395,-6.1723,0.8092,661.05
0.989849,-7.1156,-6.5697,0.6464,-7.0006,-6.3351,0.5076,661.05
1.009853,-7.0390,-6.7277,0.7661,-7.1635,-6.5457,0.7087,661.22
1.050001,-7.0150,-6.6798,1.1588,-7.0150,-6.3973,0.5507,661.22
1.070005,-7.0390,-6.7373,0.6321,-6.9576,-6.5170,0.9385,661.22
1.090008,-6.8235,-6.8043,0.8380,-6.7133,-6.7133,0.6991,661.22
1.110008,-6.5410,-7.1587,0.7566,-6.4643,-7.0485,0.7087,661.22
1.130009,-6.5410,-7.3454,0.5842,-6.4739,-7.1204,0.7566,661.22
1.150013,-6.5505,-7.0868,0.5411,-6.4165,-6.7947,0.5028,661.22
1.170015,-6.5984,-7.0964,0.5938,-6.5074,-6.7325,0.6225,661.22
1.190019,-6.5122,-7.3502,0.7470,-6.2632,-6.9671,0.5938,661.22
1.210021,-6.3015,-7.3310,0.7135,-6.2968,-6.7229,0.8140,661.22
1.230023,-6.3829,-7.3215,0.6177,-6.1770,-6.8761,0.9146,661.22
1.250024,-6.2537,-7.6040,0.6273,-6.0094,-7.3454,0.3160,661.22
1.270024,-5.8945,-7.8003,0.5698,-5.7413,-7.6088,0.5028,661.22
1.290024,-5.7365,-7.8482,0.6033,-5.4875,-7.6231,0.7183,661.22
1.310028,-5.8035,-7.9583,0.6895,-5.4684,-7.6950,0.5315,661.22
1.330030,-5.4875,-8.0397,0.9098,-5.2289,-7.8769,0.9577,661.22
1.350035,-5.3678,-8.2025,0.9290,-5.1092,-7.9727,0.6847,661.22
1.370040,-5.2720,-8.2169,0.5986,-5.1188,-7.7428,0.4453,661.22
1.390040,-5.1523,-8.1690,0.4549,-4.7788,-7.7859,0.7853,661.22
1.410041,-5.0518,-8.3318,0.3926,-4.6256,-7.8003,0.2251,661.22
1.430044,-4.5250,-8.1738,0.4836,-4.2521,-7.6375,0.5938,661.22
1.450045,-4.8171,-8.3558,0.7614,-4.5011,-8.2456,0.4645,661.22
1.470048,-4.3718,-8.3797,0.9864,-3.9648,-8.0732,1.5323,661.22
1.490052,-4.2473,-8.5856,0.6321,-3.7972,-8.5569,0.5459,661.22
1.510055,-3.9744,-8.9830,0.5986,-3.4429,-8.4467,0.3112,661.22
1.530059,-3.6344,-9.1219,0.4980,-3.0789,-8.6910,0.0000,661.22
1.550063,-3.3088,-8.9878,0.3879,-2.9688,-8.6287,-0.1820,661.22
1.570064,-3.6440,-9.1794,0.4453,-3.1603,-8.5473,0.1867,661.22
1.590066,-3.4812,-9.4954,0.2777,-3.0071,-8.8059,-1.1684,661.22
1.610067,-1.8435,-9.7300,0.4310,-1.4557,-9.1363,1.3312,661.22
1.630071,-2.2266,-9.1411,0.7566,-1.4413,-8.7867,1.2498,661.22
1.650072,-1.9680,-9.0692,0.6464,-1.6041,-8.8442,0.4549,661.22
1.670073,-1.7669,-9.7683,1.0151,-1.1157,-9.1506,1.5371,661.22
1.690077,-1.5754,-9.5912,0.7518,-0.9194,-9.0597,0.4741,661.22
1.710079,-1.6185,-9.3948,0.4501,-0.8380,-8.9735,0.2873,661.22
1.730082,-1.3216,-9.6295,0.6800,-0.8092,-8.7676,0.0239,661.22
1.750082,-0.9242,-9.7971,0.7901,-0.1341,-8.7053,0.7422,661.22
1.770087,-0.9433,-9.5098,0.6464,-0.5363,-8.3797,0.0383,661.22
1.790088,-0.6416,-9.5768,0.4357,0.2011,-8.5042,0.5938,661.22
1.810088,-0.0910,-9.3805,0.5315,0.6752,-8.5952,0.4884,661.22
1.830088,0.8667,-9.5864,0.2203,1.4078,-8.8346,0.1149,661.22
1.850088,0.8092,-9.6103,0.1580,2.3032,-8.6431,0.8236,661.22
1.870091,0.4597,-9.5385,-0.0670,2.1835,-8.1116,0.1532,661.22
1.890095,1.2737,-8.9208,0.9194,2.4565,-7.8338,1.2115,661.22
1.910096,0.6943,-10.4770,0.5602,2.0782,-8.2744,0.3879,661.22
1.930101,0.8619,-10.1514,1.0678,2.8443,-7.5992,1.8100,661.22
1.950101,1.7526,-8.7867,0.7757,4.1180,-6.2153,0.5842,661.22
1.970101,3.2513,-9.8737,0.7949,5.6695,-8.4659,1.7669,661.22
1.990102,5.3391,-9.6055,0.4980,7.8769,-9.2751,1.4174,661.22
2.010105,8.1403,-8.6862,-2.0494,10.2472,-9.6774,-3.9696,660.78
2.051006,7.1778,-5.7413,0.6991,9.0070,-5.4013,0.9673,660.78
2.071007,7.0342,-7.5130,2.5187,12.1290,-4.7166,2.7629,660.78
2.091008,4.9943,-5.6743,2.5331,7.3550,-3.1508,2.8635,660.78
2.111008,5.8371,-6.6224,0.4884,9.7540,-4.1899,-1.8435,660.78
2.131009,11.8178,-5.1523,1.9201,11.9902,-3.0263,8.9016,660.78
2.151012,9.3565,-3.3423,-0.3352,13.8002,-2.1261,-1.1205,660.78
2.171013,10.5776,-2.1261,-0.4022,13.8193,-2.2027,-0.3400,660.78
2.191013,10.9559,-0.3352,0.1053,14.4753,-0.5076,-0.9337,660.78
2.211013,11.6358,-1.0008,0.0192,14.8871,-0.5459,2.2793,660.78
2.231016,9.7540,0.9385,-0.9864,13.8864,0.7183,0.0048,660.78
2.251019,10.2951,0.9433,-0.6752,13.7714,1.5131,-1.1396,660.78
2.271023,10.3046,1.5754,0.3879,13.5751,1.5467,0.0814,660.78
2.291027,9.6630,2.3463,0.2634,13.2256,2.8299,1.2402,660.78
2.311029,9.7061,3.1316,0.2729,13.2304,3.5674,0.1006,660.78
2.331029,9.4427,4.3766,0.6752,12.6079,4.7070,-0.4262,660.78
2.351033,9.4140,4.6878,-0.5938,12.6893,4.4915,1.2306,660.78
2.371038,8.4898,6.8857,0.2011,12.0955,5.8514,0.5746,660.78
2.391041,8.2791,7.2880,0.5459,10.9846,7.4891,0.7230,660.78
2.411045,6.3829,6.6990,-0.5219,9.7300,6.3638,-1.2977,660.78
2.431047,7.9487,8.1020,1.1061,10.7835,7.1491,0.9290,660.78
2.451047,5.7604,8.2648,0.5315,9.4188,8.1642,1.4509,660.78
2.471051,6.2680,8.5617,0.8954,9.4332,8.5138,1.1492,660.78
2.491051,4.9560,7.8578,-0.2059,7.2544,10.2807,0.7853,660.78
2.511055,4.3958,9.5577,-0.1676,7.6998,9.7779,1.8340,660.78
2.531057,3.3088,9.2177,0.1915,6.2249,8.9591,0.1772,660.78
2.551059,3.1364,11.0516,0.7230,6.1387,10.1418,1.6233,660.78
2.571061,1.5706,9.0166,0.1820,4.3431,9.6582,0.1915,660.78
2.591064,1.5658,11.2336,0.8045,4.4484,11.0756,1.1732,660.78
2.611067,0.0910,8.8921,0.2729,3.0502,8.3270,-0.4788,660.78
2.631068,-0.0718,11.1235,0.6800,2.3846,10.7356,1.3408,660.78
2.651072,-1.1923,9.8114,0.1101,1.4030,9.9072,0.1197,660.78
2.671072,-1.4317,9.5146,0.3256,1.3168,9.5050,0.0622,660.78
2.691076,-2.7916,9.9455,0.1006,0.1820,9.9311,0.3879,660.78
2.711078,-2.9736,9.6965,0.1724,-0.2873,9.7109,0.4501,660.78
2.731080,-3.9265,9.2129,0.3543,-1.2977,9.1698,-0.2682,660.78
2.751082,-4.3766,8.5473,0.4597,-1.6041,8.5281,-0.0814,660.78
2.771082,-5.4205,8.6862,0.5219,-2.7485,8.2361,0.3352,660.78
2.791083,-5.7988,7.9966,0.5411,-3.6919,7.7333,1.0199,660.78
2.811086,-5.9185,7.2496,0.8715,-3.3758,6.5505,-0.8188,660.78
2.831086,-7.2736,6.8905,0.4549,-4.7884,6.5122,-1.2641,660.78
2.851088,-6.6990,5.5785,0.0766,-4.3622,4.9033,1.3312,660.78
2.871088,-7.6519,6.3686,-0.1532,-5.6695,4.7980,0.9050,660.78
2.891089,-8.2217,5.2050,0.1437,-5.1284,4.2760,0.4980,660.78
2.911091,-8.3797,4.3670,0.4836,-5.5450,4.2904,0.5650,660.78
2.931095,-8.6383,3.7397,0.8332,-6.0094,3.2417,0.5315,660.78
2.951096,-8.6814,3.2657,0.4166,-5.9855,2.6049,0.2107,660.78
2.971101,-9.2560,2.1835,0.9529,-6.8283,1.5036,0.2490,660.78
2.991105,-9.5768,1.6041,0.6033,-6.5266,1.4988,0.3831,660.78
3.011106,-9.4667,0.1101,0.6416,-6.8091,-0.1580,0.3256,661.85
3.052005,-9.3422,-0.5219,0.6895,-6.5218,-0.7087,0.2442,661.85
3.072008,-9.3709,-0.8140,0.7470,-7.2449,-1.1875,0.4884,661.85
3.092010,-8.9926,-1.5754,0.3400,-5.9855,-1.9154,1.0918,661.85
