Timestamp,A_x,A_y,A_z,B_x,B_y,B_z,Altitude
0.000000,4.0510,-8.7963,0.4980,4.1084,-8.6814,0.6081,613.94
0.069770,4.0462,-8.7149,0.4693,4.0654,-8.5234,0.3591,613.94
0.089774,4.3096,-8.8059,0.4166,4.3096,-8.8825,0.6704,613.94
0.109776,4.1707,-8.8873,0.4310,4.2617,-9.0501,0.4980,613.94
0.129779,4.1228,-8.8298,0.4980,4.2808,-8.8633,0.8667,613.94
0.149781,4.2377,-8.7532,0.4357,4.2760,-8.6910,0.5602,613.94
0.169785,4.2808,-8.7245,0.4166,4.3048,-8.7149,0.6033,613.94
0.189787,4.3527,-8.6910,0.4070,4.3670,-8.6239,0.4884,613.94
0.209787,4.3335,-8.6718,0.4741,4.4053,-8.7340,0.6129,613.94
0.229787,4.2617,-8.7197,-0.0814,4.3191,-8.6862,0.4166,613.94
0.249787,4.2569,-8.6383,-0.0575,4.5921,-8.6095,0.7278,613.94
0.269788,4.0941,-8.5904,0.0814,4.2042,-8.6431,0.8236,613.94
0.289790,4.1707,-8.7340,0.2394,4.2904,-8.7340,0.7422,613.94
0.309790,4.0223,-8.7197,0.3543,4.0989,-8.6814,0.4645,613.94
0.329790,3.9792,-8.7484,0.5124,4.0318,-8.5952,0.3017,613.94
0.349791,4.0366,-8.7628,0.5986,4.0223,-8.6383,0.4980,613.94
0.369793,4.0606,-8.7532,0.5028,4.1084,-8.6383,0.5986,613.94
0.389797,4.2138,-8.8155,0.4357,4.2713,-8.7149,0.7518,613.94
0.409798,4.1611,-8.7245,0.4932,4.2186,-8.6191,0.6800,613.94
0.429800,4.0893,-8.7532,0.4022,4.2521,-8.6479,0.5507,613.94
0.449803,4.1707,-8.8107,0.4310,4.2713,-8.6766,0.5986,613.94
0.469805,4.1084,-8.7340,0.3256,4.1659,-8.7053,0.5890,613.94
0.489809,4.1515,-8.7867,0.4262,4.2329,-8.7676,0.7135,613.94
0.509813,3.9887,-8.8059,0.4597,4.0127,-8.6766,0.5746,613.94
0.529814,3.8930,-8.8298,0.4118,3.9648,-8.5234,0.6321,613.94
0.549818,3.7493,-9.0453,0.3160,3.6583,-8.3366,0.2298,613.94
0.569821,3.7302,-8.9064,0.3352,3.8451,-8.5186,0.7422,613.94
0.589824,3.6966,-8.9543,0.6369,3.6440,-8.5329,0.8475,613.94
0.609826,3.7206,-8.7628,0.7278,3.7781,-8.4467,0.7949,613.94
0.629827,3.8690,-8.9687,0.0431,4.3239,-8.6431,1.1588,613.94
0.649830,3.5530,-9.0070,-0.0958,3.8068,-8.6862,-0.6416,613.94
0.669830,3.7972,-8.8681,-0.0239,4.0270,-8.4228,0.8906,613.94
0.689833,3.3567,-9.1171,0.6464,5.1427,-8.9591,1.1971,613.94
0.709834,4.3814,-8.4036,0.2011,4.4484,-8.3366,0.0239,613.94
0.729836,4.3622,-8.8442,0.7757,4.4484,-8.5808,0.1149,613.94
0.749837,4.5442,-8.5856,0.3591,4.7214,-8.5090,1.0343,613.94
0.769840,4.6735,-8.6000,0.5363,4.8219,-8.6000,0.8715,613.94
0.789841,4.8123,-8.4324,0.3017,4.8411,-8.5904,0.7853,613.94
0.809845,4.5825,-8.6335,0.3112,4.6735,-8.3989,0.6177,613.94
0.829845,4.4772,-8.4994,0.5028,4.5586,-8.3414,0.5555,613.94
0.849846,4.3479,-8.7388,0.5076,4.4149,-8.3941,0.9577,613.94
0.869848,4.2090,-8.6383,0.5650,4.2856,-8.2648,0.8332,613.94
0.889851,4.4628,-8.8633,0.3112,4.5586,-8.5425,0.9768,613.94
0.909851,4.4963,-8.4563,0.5650,4.5203,-8.0062,0.7470,613.94
0.929851,4.2473,-8.6766,0.3687,4.3718,-8.3079,0.8140,613.94
0.949854,4.5011,-8.5952,0.4022,4.5298,-8.0349,0.6800,613.94
0.969857,4.3431,-8.5952,0.5267,4.5633,-7.9775,1.2594,613.94
0.989857,4.2808,-8.3222,0.6608,4.5250,-7.6136,-0.2442,613.94
1.009862,3.9217,-8.8107,0.2538,3.8211,-8.2504,0.2059,613.50
1.050006,4.2377,-8.9735,1.0726,4.6256,-8.1882,2.1883,613.50
1.070008,4.1084,-9.1123,0.7326,3.9552,-8.9639,0.7661,613.50
1.090012,4.3335,-8.5617,0.4741,4.0462,-8.2073,0.0814,613.50
1.110016,5.2337,-8.8585,1.0774,5.4540,-8.6910,1.8531,613.50
1.130017,4.7549,-8.6143,0.3735,4.8890,-7.6806,-0.4166,613.50
1.150020,5.6695,-7.1874,-0.0575,5.3965,-6.5362,1.0822,613.50
1.170021,6.4404,-7.9823,0.3304,6.6367,-7.6231,0.2538,613.50
1.190022,5.5067,-7.1826,1.1684,5.7365,-7.0964,1.8004,613.50
1.210027,4.6495,-9.1315,0.7949,5.2146,-8.1547,-0.2011,613.50
1.230027,5.2146,-7.1108,-0.5076,5.5450,-7.6327,-2.2458,613.50
1.250027,7.4172,-9.4475,3.9983,7.2161,-9.5672,5.6551,613.50
1.270027,3.7254,-7.5609,-1.1875,4.7549,-6.6607,-0.1245,613.50
1.290031,6.1627,-5.9280,-1.6712,5.5689,-6.8953,-8.9591,613.50
1.310032,9.0549,-8.9735,4.2665,9.2703,-8.3893,11.1761,613.50
1.330032,2.3942,-4.6543,-0.0048,3.2992,-2.2218,1.9585,613.50
1.350034,7.8721,-7.9727,1.2067,7.8099,-4.9177,-0.2921,613.50
1.370038,7.1970,-5.5641,1.0870,7.7668,-3.6105,-0.5171,613.50
1.390038,7.5561,-7.3694,1.0104,8.5090,-6.7900,-2.5043,613.50
1.410038,8.2169,-5.6790,0.0239,7.9966,-5.8754,0.2921,613.50
1.430038,4.8602,-3.7350,0.9625,6.4260,-2.5762,2.4612,613.50
1.450041,10.9559,-8.1977,0.9146,11.8657,-5.5641,-2.8108,613.50
1.470043,6.7229,-7.5992,1.5562,8.3031,-4.8219,0.0766,613.50
1.490043,5.6695,-0.9768,-0.9912,6.9863,0.6416,3.3279,613.50
1.510044,13.1059,-7.4412,0.6895,13.6517,-7.2065,1.4940,613.50
1.530048,6.0478,-7.6231,-1.3503,7.8195,-6.4548,-0.3639,613.50
1.550049,9.5624,-0.5507,-2.7342,11.9662,-0.2442,0.9577,613.50
1.570054,8.6239,-4.9464,2.2553,9.1363,-5.5258,6.6702,613.50
1.590057,6.1866,-2.9688,-1.4557,8.9830,0.3256,9.4188,613.50
1.610059,12.7898,-4.2856,2.4373,15.7108,-7.4172,4.7645,613.50
1.630059,10.4770,-2.3272,-0.4405,12.0237,-1.3551,4.8028,613.50
1.650062,5.9376,-3.6248,-2.9161,8.8873,-5.3965,-5.5545,613.50
1.670063,11.6454,1.4988,-0.4166,14.7052,-0.6560,-1.0056,613.50
1.690064,10.1562,0.8236,0.2059,13.1059,2.3655,3.1556,613.50
1.710064,12.0093,1.5945,0.3591,13.8385,1.9632,3.0789,613.50
1.730064,5.7604,5.9185,3.4812,4.6735,9.1123,8.0493,613.50
1.750064,12.9670,9.9072,-1.2881,15.3516,8.7101,5.2289,613.50
1.770067,7.3550,-1.0391,-6.9959,10.9080,3.3998,-4.6017,613.50
1.790067,7.9535,3.6631,0.7087,13.2830,9.1746,-2.5522,613.50
1.810069,12.9622,9.0549,3.3279,7.7955,2.3559,1.4030,613.50
1.830069,7.8003,5.4684,1.0822,18.1864,10.1610,-8.7963,613.50
