Angle [deg],Speed [m/s],Distance [m],Fx [N],Fy [N],Fz [N],Mx [N*m],My [N*m],Mz [N*m],Ft [N],Ftot [N]
134.91,-0.00,0.00,14.50,-8.20,0.18,0.21,-0.28,-0.24,-0.92,16.66
134.91,-0.00,0.00,14.12,-7.83,0.18,0.23,-0.31,-0.24,-0.92,16.15
134.91,-0.00,0.00,13.63,-7.33,0.00,0.30,-0.34,-0.24,-0.92,15.47
134.91,-0.00,0.00,13.35,-6.98,-0.28,0.36,-0.36,-0.26,-1.00,15.07
134.91,-0.00,0.00,13.05,-6.54,-0.46,0.40,-0.37,-0.24,-0.92,14.60
134.91,-0.00,0.00,12.90,-6.31,-0.64,0.41,-0.36,-0.26,-1.00,14.38
134.91,-0.00,0.00,12.71,-6.26,-0.64,0.36,-0.31,-0.28,-1.09,14.18
134.91,-0.00,0.00,12.48,-6.11,-0.46,0.27,-0.24,-0.26,-1.00,13.91
134.91,-0.00,0.00,12.31,-6.15,-0.28,0.18,-0.18,-0.26,-1.00,13.77
134.91,-0.00,0.00,12.12,-6.10,-0.18,0.11,-0.12,-0.22,-0.84,13.57
134.91,-0.00,0.00,11.97,-6.25,-0.37,0.10,-0.08,-0.13,-0.50,13.51
134.91,-0.00,0.00,11.88,-6.22,-0.55,0.14,-0.09,-0.04,-0.17,13.42
134.91,-0.00,0.00,11.78,-6.19,-0.83,0.20,-0.11,-0.02,-0.08,13.33
134.91,-0.00,0.00,11.65,-6.07,-0.92,0.24,-0.14,-0.02,-0.08,13.17
134.91,-0.00,0.00,11.43,-5.92,-0.83,0.25,-0.16,0.00,0.00,12.90
134.91,-0.00,0.00,11.18,-5.67,-0.55,0.21,-0.17,0.00,0.00,12.55
134.91,-0.00,0.00,11.06,-5.54,-0.18,0.13,-0.15,0.00,0.00,12.37
134.91,-0.00,0.00,11.01,-5.35,0.28,0.06,-0.15,0.02,0.08,12.24
134.91,-0.00,0.00,11.08,-5.28,0.55,-0.00,-0.13,0.11,0.42,12.28
134.91,-0.00,0.00,11.25,-5.23,0.74,-0.04,-0.12,0.11,0.42,12.43
134.91,-0.00,0.00,11.32,-5.16,0.64,-0.02,-0.13,0.13,0.50,12.46
134.91,-0.00,0.00,11.35,-5.26,0.55,0.02,-0.16,0.09,0.33,12.52
134.91,-0.00,0.00,11.11,-5.37,0.37,0.06,-0.17,0.06,0.25,12.34
134.91,-0.00,0.00,10.74,-5.37,0.28,0.11,-0.20,0.04,0.17,12.01
134.91,-0.00,0.00,10.50,-5.48,0.18,0.13,-0.20,0.02,0.08,11.84
134.91,-0.00,0.00,10.23,-5.50,0.28,0.11,-0.20,0.11,0.42,11.62
134.91,-0.00,0.00,10.13,-5.48,0.37,0.09,-0.19,0.13,0.50,11.52
134.91,-0.00,0.00,10.23,-5.50,0.55,0.05,-0.18,0.17,0.67,11.63
134.91,-0.00,0.00,10.40,-5.46,0.46,0.03,-0.20,0.17,0.67,11.75
134.91,-0.00,0.00,10.52,-5.58,0.37,0.05,-0.20,0.11,0.42,11.92
134.91,-0.00,0.00,10.75,-5.73,0.18,0.09,-0.21,0.02,0.08,12.18
134.91,-0.00,0.00,10.97,-5.88,0.00,0.14,-0.22,-0.06,-0.25,12.45
134.91,-0.00,0.00,11.19,-6.03,0.00,0.16,-0.25,-0.15,-0.59,12.71
134.91,-0.00,0.00,11.48,-6.11,0.00,0.20,-0.24,-0.22,-0.84,13.01
134.91,-0.00,0.00,11.71,-6.26,0.18,0.18,-0.26,-0.24,-0.92,13.28
134.91,-0.00,0.00,11.95,-6.51,0.18,0.18,-0.26,-0.30,-1.17,13.61
134.91,-0.00,0.00,12.20,-6.76,0.37,0.17,-0.27,-0.43,-1.67,13.96
134.91,-0.00,0.00,12.40,-6.82,0.37,0.17,-0.27,-0.54,-2.09,14.15
134.91,-0.00,0.00,12.55,-7.04,0.18,0.17,-0.29,-0.65,-2.51,14.39
134.91,-0.00,0.00,12.70,-7.26,0.18,0.17,-0.29,-0.69,-2.68,14.63
135.00,-0.00,0.00,12.85,-7.48,0.09,0.19,-0.30,-0.73,-2.84,14.87
135.00,-0.00,0.00,13.05,-7.78,-0.09,0.21,-0.28,-0.75,-2.93,15.20
135.00,-0.00,0.00,13.08,-8.25,-0.28,0.22,-0.27,-0.75,-2.93,15.47
135.00,-0.00,0.00,13.19,-8.64,-0.28,0.23,-0.23,-0.80,-3.09,15.77
135.00,-0.00,0.00,13.20,-9.01,-0.37,0.25,-0.24,-0.82,-3.18,15.98
135.00,-0.00,0.00,13.28,-9.30,-0.28,0.26,-0.26,-0.82,-3.18,16.21
135.00,-0.00,0.00,13.47,-9.35,-0.18,0.26,-0.28,-0.80,-3.09,16.40
135.00,-0.00,0.00,13.62,-9.57,-0.18,0.29,-0.30,-0.77,-3.01,16.65
135.00,-0.00,0.00,13.75,-9.70,-0.18,0.29,-0.30,-0.71,-2.76,16.82
135.00,-0.00,0.00,13.65,-9.67,-0.37,0.29,-0.32,-0.69,-2.68,16.73
135.00,-0.00,0.00,13.31,-9.76,-0.46,0.29,-0.30,-0.69,-2.68,16.51
135.00,-0.00,0.00,13.07,-9.88,-0.55,0.28,-0.28,-0.71,-2.76,16.39
135.00,-0.00,0.00,12.94,-9.76,-0.64,0.31,-0.25,-0.77,-3.01,16.22
135.00,-0.00,0.00,12.92,-9.66,-0.74,0.33,-0.26,-0.80,-3.09,16.15
135.00,-0.00,0.00,13.06,-9.51,-0.92,0.35,-0.24,-0.82,-3.18,16.18
135.00,-0.00,0.00,13.18,-9.27,-1.10,0.39,-0.25,-0.80,-3.09,16.15
135.00,-0.00,0.00,13.10,-8.98,-1.10,0.39,-0.25,-0.73,-2.84,15.92
135.00,-0.00,0.00,12.85,-8.73,-1.01,0.37,-0.25,-0.67,-2.59,15.57
135.00,-0.00,0.00,12.38,-8.33,-0.83,0.33,-0.24,-0.58,-2.26,14.94
135.00,-0.00,0.00,12.08,-7.89,-0.46,0.25,-0.22,-0.49,-1.92,14.43
135.00,-0.00,0.00,11.80,-7.54,-0.28,0.18,-0.18,-0.39,-1.50,14.01
135.00,-0.00,0.00,11.77,-7.08,-0.18,0.10,-0.16,-0.32,-1.25,13.73
135.00,-0.00,0.00,11.79,-6.81,-0.28,0.07,-0.11,-0.28,-1.09,13.62
135.00,-0.00,0.00,11.71,-6.51,-0.46,0.08,-0.10,-0.28,-1.09,13.41
135.00,0.00,0.00,11.36,-6.24,-0.46,0.11,-0.12,-0.26,-1.00,12.97
135.00,0.00,0.00,11.11,-5.99,-0.55,0.15,-0.15,-0.26,-1.00,12.64
135.00,0.00,0.00,10.79,-5.81,-0.46,0.22,-0.19,-0.22,-0.84,12.27
135.00,0.00,0.00,10.53,-5.83,-0.28,0.23,-0.23,-0.19,-0.75,12.04
135.00,0.00,0.00,10.45,-5.90,-0.09,0.22,-0.25,-0.15,-0.59,12.01
135.00,0.00,0.00,10.43,-5.81,0.09,0.15,-0.21,-0.11,-0.42,11.94
135.00,0.00,0.00,10.40,-5.71,0.18,0.08,-0.15,-0.06,-0.25,11.87
135.00,0.00,0.00,10.32,-5.41,0.28,0.01,-0.10,0.00,0.00,11.66
135.00,0.00,0.00,10.17,-5.19,0.28,-0.02,-0.07,0.11,0.42,11.42
135.00,0.00,0.00,10.05,-5.07,0.28,0.01,-0.10,0.17,0.67,11.26
135.00,0.00,0.00,9.98,-5.14,0.09,0.07,-0.13,0.22,0.84,11.22
