Timestamp,A_x,A_y,A_z,B_x,B_y,B_z,Altitude,,,,,,,,,,,,,,,,,,,,,,
0,-9.5433,2.7869,0.7901,-9.6103,2.6097,0.7949,614.82,,,,,,,,,,,,,,,,,Alpha,Alpha-smoothed,Omega,AlphaFromOmega,Omega-smoothed,AlphaFromOmegaSmooth
0.069773,-9.4427,2.6576,0.9385,-9.5577,2.3463,0.747,614.82,,,,,,,,,,,,,,,,,-0.872906404,0.688943764,0,0,0.122035802,3.87246E-05
0.089776,-9.5577,2.6624,0.8811,-9.5433,2.4373,0.838,614.82,,,,,,,,,,,,,,,,,-1.533497537,0.775426944,0,13.31490561,0.122035802,3.87246E-05
0.109778,-9.505,2.6001,0.8571,-9.5577,2.332,0.8571,614.82,,,,,,,,,,,,,,,,,-1.108866995,0.878888327,0.266338057,-13.31557129,0.122035802,-2.662942398
0.129781,-9.596,2.6528,0.8475,-9.572,2.3607,0.8188,614.82,,,,,,,,,,,,,,,,,-1.320689655,0.953385477,0,17.18946923,0.068768191,0.00017186
0.149785,-9.5433,2.5235,0.8571,-9.5816,2.1548,0.838,614.82,,,,,,,,,,,,,,,,,-1.438916256,1.028181318,0.343840953,-17.18860993,0.068768191,0.321758112
0.169788,-9.4954,2.5091,0.8715,-9.5433,2.1308,0.8236,614.82,,,,,,,,,,,,,,,,,-1.816256158,1.118607277,0,0,0.07520088,0.000375854
0.189788,-9.5002,2.375,0.8284,-9.5912,2.0303,0.8284,614.82,,,,,,,,,,,,,,,,,-1.863546798,1.190472125,0,0,0.07520088,0.000375854
0.209791,-9.6055,2.4277,0.8428,-9.6151,2.0542,0.7853,614.82,,,,,,,,,,,,,,,,,-1.698029557,1.246321014,0,0,0.07520088,0.000375854
0.229793,-9.5098,2.4086,0.8475,-9.6822,2.0207,0.7709,614.82,,,,,,,,,,,,,,,,,-1.839901478,1.304865087,0,0,0.07520088,0.000375854
0.249796,-9.6055,2.5043,0.9098,-9.5768,2.0877,1.0199,614.82,,,,,,,,,,,,,,,,,-1.910837438,1.342860142,0,18.79740049,0.07520088,0.000375854
0.269801,-9.5241,2.6049,1.0295,-9.5289,2.375,1.1061,614.82,,,,,,,,,,,,,,,,,-2.052216749,1.394992398,0.376004402,-18.79552122,0.07520088,-3.759104244
0.289806,-9.4571,2.7725,1.2067,-9.572,2.6193,1.2067,614.82,,,,,,,,,,,,,,,,,-1.132512315,1.486853874,0,0,0,0
0.309806,-9.5624,2.8299,0.6991,-9.5864,2.6719,0.7614,614.82,,,,,,,,,,,,,,,,,-0.754679803,1.58998353,0,0,0,0
0.329806,-9.3182,2.7916,0.929,-9.6151,2.7581,1.0199,614.82,,,,,,,,,,,,,,,,,-0.778325123,1.728654418,0,0,0,0
0.349808,-9.4523,2.9113,0.656,-9.4763,2.8012,0.6177,614.82,,,,,,,,,,,,,,,,,-0.165024631,1.84457814,0,0,0,0
0.369809,-9.5768,2.9592,0.7135,-9.6343,2.6624,0.6177,614.82,,,,,,,,,,,,,,,,,-0.542364532,1.906226682,0,0,0,0
0.389809,-9.4379,3.0694,0.8475,-9.505,2.873,0.972,614.82,,,,,,,,,,,,,,,,,-1.462068966,1.857384844,0,0,0,0
0.409812,-9.4092,3.122,0.9768,-9.4523,2.9305,0.9529,614.82,,,,,,,,,,,,,,,,,-0.967487685,1.830096166,0,0,0,0
0.429817,-9.3374,3.1077,0.9385,-9.4188,2.964,0.838,614.82,,,,,,,,,,,,,,,,,-0.943349754,1.753693729,0,0,0,31.58770728
0.449822,-9.2464,3.0311,0.7949,-9.3518,2.9784,0.4118,614.82,,,,,,,,,,,,,,,,,-0.707881773,1.661099706,0,0,0.631754146,-1.76215E-13
0.469823,-9.505,3.1125,0.2394,-9.6199,2.9113,-0.1293,614.82,,,,,,,,,,,,,,,,,-0.259605911,1.624739416,0,0,0.631754146,6.865722337
0.489827,-9.5816,2.7294,0.316,-9.6151,2.557,0.0192,614.82,,,,,,,,,,,,,,,,,-0.991133005,1.636160638,0,0,0.769075458,-0.000343286
0.509827,-9.5577,2.9305,0.5555,-9.596,2.8443,0.3639,614.82,,,,,,,,,,,,,,,,,-0.849261084,1.63688592,0,0,0.769075458,-0.000343286
0.529827,-10.2855,2.8587,0.5602,-8.26,3.2417,0.9673,614.82,,,,,,,,,,,,,,,,,-0.424630542,1.607219712,0,157.9385364,0.769075458,-0.000343286
0.549827,-8.9064,2.8874,1.4126,-9.8019,3.2561,1.0247,614.82,,,,,,,,,,,,,,,,,1.886699507,1.551878323,3.158770728,-157.9385364,0.769075458,-31.58805057
0.569828,-8.9064,3.9265,1.3551,-8.8107,4.0654,1.7861,614.82,,,,,,,,,,,,,,,,,1.816256158,1.47630833,0,34.32861169,0.137321312,-0.000343286
0.589828,-9.2129,4.0031,1.5419,-9.232,4.1228,1.6041,614.82,,,,,,,,,,,,,,,,,0.684236453,1.437285256,0.686606562,-34.33032812,0.137321312,5.8897097
0.609833,-8.8538,4.2138,1.1971,-8.8969,4.7309,1.3695,614.82,,,,,,,,,,,,,,,,,0.589655172,1.401618,0,0,0.255153774,11.49040268
0.629833,-8.8777,4.4197,1.1253,-8.9256,4.9368,1.3408,614.82,,,,,,,,,,,,,,,,,2.54729064,1.426953623,0,0,0.484996299,-0.00172356
0.649834,-8.9447,4.6017,1.1109,-8.9926,5.3151,1.1636,614.82,,,,,,,,,,,,,,,,,2.54729064,1.461973421,0,0,0.484996299,10.85516785
0.669838,-9.0118,4.4053,1.0247,-9.0836,4.8985,1.2785,614.82,,,,,,,,,,,,,,,,,3.514285714,1.398204569,0,0,0.702188411,-0.004437783
0.689841,-9.2703,3.7206,1.0726,-8.9399,4.3383,1.4461,614.82,,,,,,,,,,,,,,,,,2.42955665,1.403800629,0,63.77887661,0.702188411,-0.004437783
0.709844,-9.2847,3.644,0.7997,-9.0166,4.2521,0.5219,614.82,,,,,,,,,,,,,,,,,3.042857143,1.428887212,1.275768869,-6.326863216,0.702188411,-6.428190316
0.729844,-9.3134,3.7541,0.7901,-9.4332,4.142,0.589,614.82,,,,,,,,,,,,,,,,,2.995566502,1.38526551,1.149212624,-57.4606312,0.573681425,-0.853200875
0.749849,-9.4236,3.4572,0.9385,-9.1842,3.7302,0.6704,614.82,,,,,,,,,,,,,,,,,1.910837438,1.282557958,0,54.28445705,0.556678024,7.033298202
0.769849,-9.3422,3.9025,0.5842,-9.4715,4.1468,0.7949,614.82,,,,,,,,,,,,,,,,,1.344827586,1.184681632,1.085960563,-54.29802816,0.697400999,-5.114686004
0.789853,-9.3757,3.5913,0.6081,-9.505,3.8259,0.3496,614.82,,,,,,,,,,,,,,,,,1.203448276,1.076698908,0,0,0.595108714,8.954727013
0.809854,-9.4475,3.2992,0.6895,-9.3661,3.6966,0.929,614.82,,,,,,,,,,,,,,,,,1.155665025,1.068467371,0,31.66011395,0.774214319,7.205082216
0.829854,-9.3518,3.2609,0.4549,-9.1219,4.0606,0.4693,614.82,,,,,,,,,,,,,,,,,1.957635468,1.080200415,0.633233939,21.54808399,0.918327028,2.489697621
0.849855,-9.73,3.0502,0.7614,-9.6295,3.4189,0.6512,614.82,,,,,,,,,,,,,,,,,3.939408867,1.056235104,1.064195619,-18.02813581,0.968125714,-0.111917447
0.869856,-9.9742,2.7773,1.1971,-9.9072,3.1508,1.5323,614.82,,,,,,,,,,,,,,,,,1.816256158,0.943221391,0.703614875,-6.455463986,0.965892097,0.486796966
0.889859,-9.3661,2.6193,0.996,-9.2033,3.1173,1.2354,614.82,,,,,,,,,,,,,,,,,1.839901478,0.886905139,0.574499139,16.04903692,0.975636375,3.84701038
0.909859,-10.0892,2.7533,0.7661,-9.9838,3.1364,1.8004,614.82,,,,,,,,,,,,,,,,,2.45320197,0.754245884,0.895528025,-8.748223985,1.05259035,5.612869437
0.929859,-9.0932,3.6583,1.0487,-8.9352,4.5873,0.5986,614.82,,,,,,,,,,,,,,,,,1.887192118,0.594266193,0.720563545,8.083190979,1.16487178,5.515286587
0.949859,-9.2943,3.7828,0.5746,-9.0692,4.5586,0.4262,614.82,,,,,,,,,,,,,,,,,4.57635468,0.485338071,0.882227365,8.540008644,1.23799654,8.005750352
0.969859,-8.6957,2.3272,0.7278,-8.5808,2.466,1.312,614.82,,,,,,,,,,,,,,,,,3.821674877,0.328426478,1.053027538,-15.03456375,1.360942898,15.17038335
0.989861,-10.9942,2.8635,0.6847,-10.8074,3.9456,1.7382,614.82,,,,,,,,,,,,,,,,,0.683743842,0.179715794,0.752336263,10.34560308,1.627190787,-5.660606188
1.009865,-10.6015,3.2801,0.9768,-10.1706,4.4772,-0.7326,615.71,,,,,,,,,,,,,,,,,5.330541872,0.057366586,0.959269016,24.87833221,1.476723535,16.60274051
1.050006,-8.9783,1.8483,1.5658,-8.7388,2.4756,3.486,615.71,,,,,,,,,,,,,,,,,5.897044335,-0.135113522,1.456935173,-9.236138231,1.771519078,0.94578545
1.070009,-8.5904,1.5227,0.4118,-8.1355,0.9673,0.1724,615.71,,,,,,,,,,,,,,,,,3.090147783,-0.360800483,1.086187348,20.5355098,1.753155617,13.71604091
1.09001,-10.9032,1.2354,2.2745,-9.7492,2.7438,1.8148,615.71,,,,,,,,,,,,,,,,,-2.735960591,-0.579331048,1.496959151,44.36317363,2.027402278,4.032587066
