Timestamp,A_x,A_y,A_z,B_x,B_y,B_z,Altitude,,,,,,,,,,,,,,,,,,,,,,
0,-3.4668,9.8067,1.6855,-4.4197,9.5002,2.7677,615.88,,,,,,,,,,,,,,,,,Alpha,Alpha-smoothed,Omega,AlphaFromOmega,Omega-smoothed,AlphaFromOmegaSmooth
0.069769,-4.1851,9.0453,0.9146,-4.1372,8.1307,-0.0862,615.88,,,,,,,,,,,,,,,,,-1.509852217,-0.551188177,0,6.962372249,0.09715155,-3.464131723
0.089773,-3.5434,9.912,0.656,-3.8642,9.6869,-1.3599,615.88,,,,,,,,,,,,,,,,,-4.505418719,-0.528701339,0.485757749,-24.28303087,0.09715155,-4.856606173
0.109776,-3.2657,9.4619,0.3496,-3.3184,9.232,0.8284,615.88,,,,,,,,,,,,,,,,,-1.108866995,-0.480472684,0,0,0,0
0.129781,-3.7876,9.5337,0.6369,-3.8786,9.232,0.6416,615.88,,,,,,,,,,,,,,,,,-1.132512315,-0.44365485,0,0,0,0
0.149785,-3.6057,9.2464,0.5698,-3.8068,9.5002,0.3208,615.88,,,,,,,,,,,,,,,,,-1.486206897,-0.412798519,0,0,0,0
0.169789,-3.8164,9.6055,0.3735,-4.1037,9.5433,0.7757,615.88,,,,,,,,,,,,,,,,,1.250246305,-0.382698466,0,0,0,0
0.189791,-3.5195,9.4763,0.4693,-3.6966,9.6007,0.3543,615.88,,,,,,,,,,,,,,,,,-0.306403941,-0.361248806,0,0,0,0
0.209791,-3.553,9.6007,0.5267,-3.7397,9.663,0.5555,615.88,,,,,,,,,,,,,,,,,0.612807882,-0.340647683,0,0,0,2.663247407
0.229791,-3.8595,9.3709,0.4022,-3.9552,9.098,0.2825,615.88,,,,,,,,,,,,,,,,,0.306896552,-0.323801851,0,0,0.053267611,0.000399407
0.249792,-3.6248,9.414,0.5028,-3.8068,9.1602,0.8523,615.88,,,,,,,,,,,,,,,,,-1.344334975,-0.309110513,0,0,0.053267611,0.000399407
0.269795,-3.6248,9.4475,0.565,-3.8595,9.2799,0.7087,615.88,,,,,,,,,,,,,,,,,-1.250246305,-0.294036884,0,0,0.053267611,0.000399407
0.289797,-3.6727,9.3182,0.4836,-3.869,9.2464,0.6847,615.88,,,,,,,,,,,,,,,,,-0.825615764,-0.278280637,0,0,0.053267611,0.000399407
0.309798,-3.7781,9.5289,0.4262,-3.7637,9.6199,0.2586,615.88,,,,,,,,,,,,,,,,,-0.353694581,-0.25940874,0,13.31623704,0.053267611,0.000399407
0.329802,-3.8595,9.347,0.2538,-3.9696,9.1746,0.0766,615.88,,,,,,,,,,,,,,,,,0.448275862,-0.238819435,0.266338057,-13.31424,0.053267611,-2.662848
0.349802,-3.6631,9.5098,0.3017,-3.8786,9.4092,0.4932,615.88,,,,,,,,,,,,,,,,,-0.849261084,-0.217587198,0,0,0,0
0.369806,-4.0989,9.4523,0.5698,-4.5203,9.2656,-1.2019,615.88,,,,,,,,,,,,,,,,,-0.495566502,-0.192743829,0,0,0,0
0.389807,-4.4532,9.2799,0.1437,-4.5155,9.256,-1.0439,615.88,,,,,,,,,,,,,,,,,-0.919704433,-0.165474496,0,0,0,0
0.409808,-3.7158,9.2799,0.4884,-4.391,9.5912,-0.8667,615.88,,,,,,,,,,,,,,,,,-0.11773399,-0.136448697,0,0,0,0
0.429812,-3.055,9.7779,0.7661,-3.4046,10.5536,0.8715,615.88,,,,,,,,,,,,,,,,,1.533497537,-0.109394164,0,0,0,0
0.449813,-3.3184,9.6486,0.4836,-3.5243,9.9982,0.6752,615.88,,,,,,,,,,,,,,,,,3.821182266,-0.083891744,0,0,0,0
0.469813,-4.0031,9.3422,0.6273,-4.1228,9.007,0.905,615.88,,,,,,,,,,,,,,,,,1.722167488,-0.067878458,0,0,0,0
0.489813,-3.9361,9.3326,0.5555,-3.9744,9.1506,0.6704,615.88,,,,,,,,,,,,,,,,,-1.651231527,-0.06015144,0,0,0,0
0.509813,-3.3423,9.5098,0.7614,-3.5769,9.5529,1.0199,615.88,,,,,,,,,,,,,,,,,-0.896551724,-0.04551037,0,0,0,0
0.529813,-3.5817,9.3134,0.656,-3.7254,9.2464,0.5363,615.88,,,,,,,,,,,,,,,,,0.212315271,-0.026086967,0,0,0,0
0.549813,-3.6344,9.4715,0.5267,-3.7972,9.3374,0.747,615.88,,,,,,,,,,,,,,,,,-0.330049261,-0.006277129,0,0,0,0
0.569814,-3.9552,9.3182,0.2825,-4.1276,9.0884,0.067,615.88,,,,,,,,,,,,,,,,,-0.660591133,0.013436661,0,0,0,0
0.589814,-3.9887,9.414,0.4788,-4.1515,9.1171,0.0383,615.88,,,,,,,,,,,,,,,,,-1.132019704,0.034931347,0,0,0,0
0.609818,-3.7876,9.4092,0.5267,-3.9073,9.1889,0.6608,615.88,,,,,,,,,,,,,,,,,-1.462561576,0.058670319,0,0,0,0
0.629818,-3.6823,9.4236,0.5171,-3.9265,9.2991,0.2777,615.88,,,,,,,,,,,,,,,,,-1.085221675,0.088458897,0,0,0,0
0.649818,-3.7014,9.5146,0.4549,-3.8403,9.3518,0.5171,615.88,,,,,,,,,,,,,,,,,-0.613300493,0.110132219,0,0,0,0
