Angle [deg],Speed [m/s],Distance [m],Fx [N],Fy [N],Fz [N],Mx [N*m],My [N*m],Mz [N*m],Ft [N],Ftot [N]
315.97,-0.00,0.00,0.05,1.47,-1.10,-0.29,0.15,-0.09,-0.33,1.84
316.05,-0.00,0.00,-0.21,1.44,-0.92,-0.27,0.16,-0.04,-0.17,1.72
316.05,-0.00,0.00,-0.18,1.34,-0.83,-0.25,0.16,-0.06,-0.25,1.59
316.05,-0.00,0.00,-0.02,1.13,-0.74,-0.23,0.15,-0.09,-0.33,1.34
316.05,-0.00,0.00,0.13,0.91,-0.83,-0.23,0.13,-0.11,-0.42,1.23
316.05,-0.00,0.00,0.15,0.54,-0.92,-0.22,0.11,-0.15,-0.59,1.08
316.05,-0.00,0.00,-0.04,0.22,-1.01,-0.24,0.12,-0.17,-0.67,1.04
316.05,-0.00,0.00,-0.25,0.00,-1.20,-0.26,0.10,-0.17,-0.67,1.22
316.05,0.00,0.00,-0.46,-0.22,-1.29,-0.28,0.11,-0.17,-0.67,1.38
316.05,0.00,0.00,-0.42,-0.04,-1.29,-0.28,0.11,-0.17,-0.67,1.35
316.05,0.00,0.00,-0.33,0.30,-1.20,-0.26,0.10,-0.17,-0.67,1.28
316.05,0.00,0.00,-0.03,0.86,-1.20,-0.23,0.08,-0.17,-0.67,1.47
316.05,0.00,0.00,0.25,1.15,-1.20,-0.18,0.03,-0.13,-0.50,1.68
316.05,0.00,0.00,0.43,1.47,-1.10,-0.13,-0.00,-0.11,-0.42,1.89
316.05,0.00,0.00,0.63,1.42,-1.01,-0.11,-0.01,-0.06,-0.25,1.85
316.05,0.00,0.00,0.68,1.22,-0.92,-0.12,0.01,-0.04,-0.17,1.68
316.05,0.00,0.00,0.73,0.76,-0.74,-0.13,0.05,-0.04,-0.17,1.28
316.05,0.00,0.00,0.84,0.37,-0.64,-0.19,0.12,-0.06,-0.25,1.12
316.05,0.00,0.00,0.89,0.17,-0.74,-0.26,0.18,-0.04,-0.17,1.17
315.97,0.00,0.00,0.82,0.10,-0.83,-0.33,0.23,-0.02,-0.08,1.17
315.97,0.00,0.00,0.58,0.25,-0.83,-0.36,0.26,0.02,0.08,1.04
315.97,0.00,0.00,0.30,0.59,-0.83,-0.36,0.26,0.04,0.17,1.06
315.97,0.00,0.00,0.02,0.93,-0.83,-0.33,0.23,0.06,0.25,1.25
315.97,0.00,0.00,-0.23,1.17,-0.92,-0.30,0.19,0.06,0.25,1.51
315.97,0.00,0.00,-0.38,1.39,-0.92,-0.27,0.16,0.02,0.08,1.71
315.97,0.00,0.00,-0.29,1.37,-1.01,-0.24,0.12,-0.02,-0.08,1.73
315.97,0.00,0.00,-0.19,1.35,-1.20,-0.26,0.10,-0.06,-0.25,1.81
315.97,0.00,0.00,0.11,1.27,-1.20,-0.26,0.10,-0.13,-0.50,1.75
315.97,0.00,0.00,0.23,1.15,-1.20,-0.26,0.10,-0.13,-0.50,1.68
315.97,0.00,0.00,0.33,1.12,-1.01,-0.24,0.12,-0.17,-0.67,1.55
315.97,0.00,0.00,0.40,1.20,-0.83,-0.23,0.13,-0.13,-0.50,1.51
315.97,0.00,0.00,0.31,1.22,-0.64,-0.21,0.15,-0.09,-0.33,1.41
315.97,0.00,0.00,0.25,1.42,-0.46,-0.20,0.16,-0.04,-0.17,1.51
315.97,0.00,0.00,0.19,1.61,-0.46,-0.20,0.16,0.06,0.25,1.69
315.97,0.00,0.00,0.17,1.71,-0.64,-0.24,0.17,0.09,0.33,1.83
315.97,0.00,0.00,0.07,1.73,-1.01,-0.29,0.17,0.06,0.25,2.01
315.97,0.00,0.00,0.17,1.71,-1.38,-0.35,0.16,0.02,0.08,2.20
315.97,0.00,0.00,0.25,1.42,-1.56,-0.39,0.17,-0.04,-0.17,2.13
315.97,0.00,0.00,0.43,1.10,-1.66,-0.38,0.15,-0.09,-0.33,2.03
315.97,0.00,0.00,0.32,0.86,-1.66,-0.36,0.13,-0.06,-0.25,1.89
315.97,0.00,0.00,0.30,0.59,-1.38,-0.32,0.14,-0.02,-0.08,1.53
315.97,0.00,0.00,0.13,0.54,-1.10,-0.29,0.15,0.11,0.42,1.24
315.97,0.00,0.00,0.01,0.66,-0.83,-0.25,0.16,0.17,0.67,1.06
315.88,0.00,0.00,-0.15,0.88,-0.64,-0.24,0.17,0.19,0.75,1.10
315.88,0.00,0.00,-0.07,1.22,-0.64,-0.20,0.18,0.13,0.50,1.38
315.88,0.00,0.00,0.07,1.37,-0.74,-0.20,0.16,0.02,0.08,1.56
315.88,0.00,0.00,0.07,1.37,-0.92,-0.16,0.10,-0.11,-0.42,1.65
315.88,0.00,0.00,0.12,1.17,-1.20,-0.14,0.04,-0.22,-0.84,1.68
315.88,0.00,0.00,-0.06,0.86,-1.29,-0.15,-0.02,-0.24,-0.92,1.55
315.88,0.00,0.00,-0.24,0.54,-1.47,-0.16,-0.03,-0.19,-0.75,1.59
315.88,0.00,0.00,-0.48,0.42,-1.47,-0.19,-0.01,-0.11,-0.42,1.61
315.88,0.00,0.00,-0.54,0.62,-1.38,-0.24,0.06,0.00,0.00,1.60
315.88,0.00,0.00,-0.45,0.96,-1.29,-0.30,0.13,0.06,0.25,1.67
315.88,0.00,0.00,-0.27,1.27,-1.29,-0.35,0.18,0.09,0.33,1.83
315.88,0.00,0.00,-0.06,1.49,-1.20,-0.39,0.23,0.09,0.33,1.91
315.88,0.00,0.00,0.14,1.44,-1.20,-0.39,0.23,0.06,0.25,1.88
315.88,0.00,0.00,0.10,1.27,-1.20,-0.36,0.20,0.06,0.25,1.75
315.88,0.00,0.00,-0.12,1.05,-1.38,-0.35,0.16,0.06,0.25,1.74
315.88,0.00,0.00,-0.12,1.05,-1.56,-0.34,0.12,0.06,0.25,1.89
315.88,0.00,0.00,-0.14,1.15,-1.66,-0.33,0.10,0.09,0.33,2.02
